billing_id,customer_id,subscription_id,billing_month,record_type,seats,seat_price,mrr_amount,plan_code,currency,source_system,created_at
1,CUST-00001,SUB-00001,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
14,CUST-00002,SUB-00002,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
50,CUST-00003,SUB-00003,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
73,CUST-00004,SUB-00004,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
109,CUST-00005,SUB-00005,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
145,CUST-00006,SUB-00006,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
152,CUST-00007,SUB-00007,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
163,CUST-00008,SUB-00008,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
189,CUST-00009,SUB-00009,2023-09,recurring,9,62.0,558.0,Growth,USD,billing_v1,2023-09-01
221,CUST-00010,SUB-00010,2023-09,recurring,25,121.0,3025.0,Enterprise,USD,billing_v1,2023-09-01
257,CUST-00011,SUB-00011,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
293,CUST-00012,SUB-00012,2023-09,recurring,10,88.0,880.0,Scale,USD,billing_v1,2023-09-01
329,CUST-00013,SUB-00013,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
339,CUST-00014,SUB-00014,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
375,CUST-00015,SUB-00015,2023-09,recurring,9,62.0,558.0,Growth,USD,billing_v1,2023-09-01
378,CUST-00016,SUB-00016,2023-09,recurring,8,62.0,496.0,Growth,USD,billing_v1,2023-09-01
414,CUST-00017,SUB-00017,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
450,CUST-00018,SUB-00018,2023-09,recurring,8,62.0,496.0,Growth,USD,billing_v1,2023-09-01
454,CUST-00019,SUB-00019,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
488,CUST-00020,SUB-00020,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
524,CUST-00021,SUB-00021,2023-09,recurring,23,88.0,2024.0,Scale,USD,billing_v1,2023-09-01
560,CUST-00022,SUB-00022,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
596,CUST-00023,SUB-00023,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
632,CUST-00024,SUB-00024,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
656,CUST-00025,SUB-00025,2023-09,recurring,8,62.0,496.0,Growth,USD,billing_v1,2023-09-01
658,CUST-00026,SUB-00026,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
679,CUST-00027,SUB-00027,2023-09,recurring,4,39.0,156.0,Starter,USD,billing_v1,2023-09-01
715,CUST-00028,SUB-00028,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
751,CUST-00029,SUB-00029,2023-09,recurring,19,88.0,1672.0,Scale,USD,billing_v1,2023-09-01
787,CUST-00030,SUB-00030,2023-09,recurring,10,88.0,880.0,Scale,USD,billing_v1,2023-09-01
823,CUST-00031,SUB-00031,2023-09,recurring,25,121.0,3025.0,Enterprise,USD,billing_v1,2023-09-01
859,CUST-00032,SUB-00032,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
895,CUST-00033,SUB-00033,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
914,CUST-00034,SUB-00034,2023-09,recurring,3,39.0,117.0,Starter,USD,billing_v1,2023-09-01
916,CUST-00035,SUB-00035,2023-09,recurring,16,88.0,1408.0,Scale,USD,billing_v1,2023-09-01
