customer_id,company_name,signup_month,acquisition_channel,segment,plan_code,seat_price,initial_seats,country,industry,is_pre_window,churn_month
CUST-00001,Orchard Medical Supply Holdings,2021-10,partner,SMB,Growth,62.0,6,US,Food & Beverage,1,2024-10
CUST-00002,Meridian Paper Ltd,2022-03,paid_search,SMB,Growth,62.0,7,US,Medical Devices,1,
CUST-00003,Dune Medical Supply Inc,2023-06,outbound_sdr,SMB,Starter,39.0,7,US,Medical Devices,1,2025-08
CUST-00004,Orchard Automotive Works,2023-04,inbound_content,SMB,Starter,39.0,8,US,Retail,1,
CUST-00005,Ridge Industrial LLC,2021-12,events,SMB,Starter,39.0,7,US,Automotive Parts,1,
CUST-00006,Bluff Wholesale Works,2021-07,paid_search,SMB,Starter,39.0,6,US,Food & Beverage,1,2024-04
CUST-00007,Bluff Materials LLC,2022-09,partner,SMB,Growth,62.0,6,DE,Medical Devices,1,2024-08
CUST-00008,Halcyon Packaging LLC,2021-12,paid_social,SMB,Growth,62.0,6,AU,Automotive Parts,1,2025-11
CUST-00009,Lakeshore Components Group,2021-11,inbound_content,SMB,Growth,62.0,9,US,Apparel,1,2026-05
CUST-00010,Granite Hardware Group,2023-08,paid_search,Enterprise,Enterprise,121.0,25,SE,Automotive Parts,1,
CUST-00011,Pioneer Materials LLC,2023-05,paid_search,SMB,Growth,62.0,6,CA,3PL,1,
CUST-00012,Dune Packaging Ltd,2022-02,paid_search,MidMarket,Scale,88.0,10,SE,Retail,1,
CUST-00013,Halcyon Supply LLC,2023-04,inbound_content,SMB,Starter,39.0,7,US,Retail,1,2024-07
CUST-00014,Halcyon Hardware Co,2022-09,inbound_content,SMB,Growth,62.0,7,CA,Chemicals,1,
CUST-00015,Sterling Automotive Ltd,2021-07,paid_search,SMB,Growth,62.0,9,US,Industrial Distribution,1,2023-12
CUST-00016,Cedar Apparel Holdings,2021-07,partner,SMB,Growth,62.0,8,US,Chemicals,1,
CUST-00017,Meridian Hardware Works,2023-06,paid_search,SMB,Growth,62.0,6,US,Food & Beverage,1,
CUST-00018,Orchard Chemicals Partners,2021-03,paid_social,SMB,Growth,62.0,8,CA,3PL,1,2024-01
CUST-00019,Iron Supply Inc,2023-06,inbound_content,SMB,Starter,39.0,7,CA,3PL,1,2026-07
