month,role,headcount,loaded_cost_per_head,total_cost,cost_category
2023-09,ae,3,15000.0,45000.0,SM
2023-09,cs_am,3,12000.0,36000.0,COGS
2023-09,engineering,8,17500.0,140000.0,RD
2023-09,ga,3,15500.0,46500.0,GA
2023-09,marketing,2,14000.0,28000.0,SM
2023-09,sales_engineer,1,16500.0,16500.0,SM
2023-09,sdr,2,11000.0,22000.0,SM
2023-09,sdr_manager,1,16000.0,16000.0,SM
2023-10,ae,3,15000.0,45000.0,SM
2023-10,cs_am,3,12000.0,36000.0,COGS
2023-10,engineering,8,17500.0,140000.0,RD
2023-10,ga,3,15500.0,46500.0,GA
2023-10,marketing,2,14000.0,28000.0,SM
2023-10,sales_engineer,1,16500.0,16500.0,SM
2023-10,sdr,2,11000.0,22000.0,SM
2023-10,sdr_manager,1,16000.0,16000.0,SM
2023-11,ae,3,15000.0,45000.0,SM
2023-11,cs_am,3,12000.0,36000.0,COGS
2023-11,engineering,8,17500.0,140000.0,RD
2023-11,ga,3,15500.0,46500.0,GA
2023-11,marketing,2,14000.0,28000.0,SM
2023-11,sales_engineer,1,16500.0,16500.0,SM
2023-11,sdr,2,11000.0,22000.0,SM
2023-11,sdr_manager,1,16000.0,16000.0,SM
2023-12,ae,4,15000.0,60000.0,SM
2023-12,cs_am,4,12000.0,48000.0,COGS
2023-12,engineering,9,17500.0,157500.0,RD
2023-12,ga,3,15500.0,46500.0,GA
2023-12,marketing,2,14000.0,28000.0,SM
2023-12,sales_engineer,1,16500.0,16500.0,SM
2023-12,sdr,2,11000.0,22000.0,SM
2023-12,sdr_manager,1,16000.0,16000.0,SM
2024-01,ae,4,15000.0,60000.0,SM
2024-01,cs_am,4,12000.0,48000.0,COGS
2024-01,engineering,9,17500.0,157500.0,RD
2024-01,ga,3,15500.0,46500.0,GA
2024-01,marketing,2,14000.0,28000.0,SM
2024-01,sales_engineer,1,16500.0,16500.0,SM
2024-01,sdr,2,11000.0,22000.0,SM
2024-01,sdr_manager,1,16000.0,16000.0,SM
2024-02,ae,4,15000.0,60000.0,SM
2024-02,cs_am,4,12000.0,48000.0,COGS
2024-02,engineering,9,17500.0,157500.0,RD
2024-02,ga,3,15500.0,46500.0,GA
2024-02,marketing,3,14000.0,42000.0,SM
2024-02,sales_engineer,1,16500.0,16500.0,SM
2024-02,sdr,3,11000.0,33000.0,SM
2024-02,sdr_manager,1,16000.0,16000.0,SM
2024-03,ae,4,15000.0,60000.0,SM
2024-03,cs_am,4,12000.0,48000.0,COGS
2024-03,engineering,9,17500.0,157500.0,RD
2024-03,ga,3,15500.0,46500.0,GA
2024-03,marketing,3,14000.0,42000.0,SM
2024-03,sales_engineer,1,16500.0,16500.0,SM
2024-03,sdr,3,11000.0,33000.0,SM
2024-03,sdr_manager,1,16000.0,16000.0,SM
2024-04,ae,4,15000.0,60000.0,SM
2024-04,cs_am,4,12000.0,48000.0,COGS
2024-04,engineering,10,17500.0,175000.0,RD
2024-04,ga,3,15500.0,46500.0,GA
2024-04,marketing,3,14000.0,42000.0,SM
2024-04,sales_engineer,1,16500.0,16500.0,SM
2024-04,sdr,3,11000.0,33000.0,SM
2024-04,sdr_manager,1,16000.0,16000.0,SM
2024-05,ae,4,15000.0,60000.0,SM
2024-05,cs_am,4,12000.0,48000.0,COGS
2024-05,engineering,10,17500.0,175000.0,RD
2024-05,ga,3,15500.0,46500.0,GA
2024-05,marketing,3,14000.0,42000.0,SM
2024-05,sales_engineer,1,16500.0,16500.0,SM
2024-05,sdr,3,11000.0,33000.0,SM
2024-05,sdr_manager,1,16000.0,16000.0,SM
2024-06,ae,5,15000.0,75000.0,SM
2024-06,cs_am,5,12000.0,60000.0,COGS
2024-06,engineering,10,17500.0,175000.0,RD
2024-06,ga,4,15500.0,62000.0,GA
2024-06,marketing,3,14000.0,42000.0,SM
2024-06,sales_engineer,2,16500.0,33000.0,SM
2024-06,sdr,3,11000.0,33000.0,SM
2024-06,sdr_manager,1,16000.0,16000.0,SM
2024-07,ae,5,15000.0,75000.0,SM
2024-07,cs_am,5,12000.0,60000.0,COGS
2024-07,engineering,10,17500.0,175000.0,RD
2024-07,ga,4,15500.0,62000.0,GA
2024-07,marketing,3,14000.0,42000.0,SM
2024-07,sales_engineer,2,16500.0,33000.0,SM
2024-07,sdr,3,11000.0,33000.0,SM
2024-07,sdr_manager,1,16000.0,16000.0,SM
2024-08,ae,5,15000.0,75000.0,SM
2024-08,cs_am,5,12000.0,60000.0,COGS
2024-08,engineering,11,17500.0,192500.0,RD
2024-08,ga,4,15500.0,62000.0,GA
2024-08,marketing,3,14000.0,42000.0,SM
2024-08,sales_engineer,2,16500.0,33000.0,SM
2024-08,sdr,3,11000.0,33000.0,SM
2024-08,sdr_manager,1,16000.0,16000.0,SM
2024-09,ae,5,15000.0,75000.0,SM
2024-09,cs_am,5,12000.0,60000.0,COGS
2024-09,engineering,11,17500.0,192500.0,RD
2024-09,ga,4,15500.0,62000.0,GA
2024-09,marketing,3,14000.0,42000.0,SM
2024-09,sales_engineer,2,16500.0,33000.0,SM
2024-09,sdr,4,11000.0,44000.0,SM
2024-09,sdr_manager,2,16000.0,32000.0,SM
2024-10,ae,5,15000.0,75000.0,SM
2024-10,cs_am,5,12000.0,60000.0,COGS
2024-10,engineering,11,17500.0,192500.0,RD
2024-10,ga,4,15500.0,62000.0,GA
2024-10,marketing,4,14000.0,56000.0,SM
2024-10,sales_engineer,2,16500.0,33000.0,SM
2024-10,sdr,4,11000.0,44000.0,SM
2024-10,sdr_manager,2,16000.0,32000.0,SM
2024-11,ae,5,15000.0,75000.0,SM
2024-11,cs_am,5,12000.0,60000.0,COGS
2024-11,engineering,11,17500.0,192500.0,RD
2024-11,ga,4,15500.0,62000.0,GA
2024-11,marketing,4,14000.0,56000.0,SM
2024-11,sales_engineer,2,16500.0,33000.0,SM
2024-11,sdr,4,11000.0,44000.0,SM
2024-11,sdr_manager,2,16000.0,32000.0,SM
2024-12,ae,5,15000.0,75000.0,SM
2024-12,cs_am,6,12000.0,72000.0,COGS
2024-12,engineering,12,17500.0,210000.0,RD
2024-12,ga,4,15500.0,62000.0,GA
2024-12,marketing,4,14000.0,56000.0,SM
2024-12,sales_engineer,2,16500.0,33000.0,SM
2024-12,sdr,4,11000.0,44000.0,SM
2024-12,sdr_manager,2,16000.0,32000.0,SM
2025-01,ae,5,15000.0,75000.0,SM
2025-01,cs_am,6,12000.0,72000.0,COGS
2025-01,engineering,12,17500.0,210000.0,RD
2025-01,ga,4,15500.0,62000.0,GA
2025-01,marketing,4,14000.0,56000.0,SM
2025-01,sales_engineer,2,16500.0,33000.0,SM
2025-01,sdr,4,11000.0,44000.0,SM
2025-01,sdr_manager,2,16000.0,32000.0,SM
2025-02,ae,6,15000.0,90000.0,SM
2025-02,cs_am,6,12000.0,72000.0,COGS
2025-02,engineering,12,17500.0,210000.0,RD
2025-02,ga,4,15500.0,62000.0,GA
2025-02,marketing,4,14000.0,56000.0,SM
2025-02,sales_engineer,2,16500.0,33000.0,SM
2025-02,sdr,4,11000.0,44000.0,SM
2025-02,sdr_manager,2,16000.0,32000.0,SM
2025-03,ae,6,15000.0,90000.0,SM
2025-03,cs_am,6,12000.0,72000.0,COGS
2025-03,engineering,12,17500.0,210000.0,RD
2025-03,ga,4,15500.0,62000.0,GA
2025-03,marketing,4,14000.0,56000.0,SM
2025-03,sales_engineer,2,16500.0,33000.0,SM
2025-03,sdr,4,11000.0,44000.0,SM
2025-03,sdr_manager,2,16000.0,32000.0,SM
2025-04,ae,6,15000.0,90000.0,SM
2025-04,cs_am,6,12000.0,72000.0,COGS
2025-04,engineering,13,17500.0,227500.0,RD
2025-04,ga,4,15500.0,62000.0,GA
2025-04,marketing,4,14000.0,56000.0,SM
2025-04,sales_engineer,2,16500.0,33000.0,SM
2025-04,sdr,5,11000.0,55000.0,SM
2025-04,sdr_manager,2,16000.0,32000.0,SM
2025-05,ae,6,15000.0,90000.0,SM
2025-05,cs_am,6,12000.0,72000.0,COGS
2025-05,engineering,13,17500.0,227500.0,RD
2025-05,ga,4,15500.0,62000.0,GA
2025-05,marketing,4,14000.0,56000.0,SM
2025-05,sales_engineer,2,16500.0,33000.0,SM
2025-05,sdr,5,11000.0,55000.0,SM
2025-05,sdr_manager,2,16000.0,32000.0,SM
2025-06,ae,6,15000.0,90000.0,SM
2025-06,cs_am,7,12000.0,84000.0,COGS
2025-06,engineering,13,17500.0,227500.0,RD
2025-06,ga,4,15500.0,62000.0,GA
2025-06,marketing,4,14000.0,56000.0,SM
2025-06,sales_engineer,2,16500.0,33000.0,SM
2025-06,sdr,5,11000.0,55000.0,SM
2025-06,sdr_manager,2,16000.0,32000.0,SM
2025-07,ae,6,15000.0,90000.0,SM
2025-07,cs_am,7,12000.0,84000.0,COGS
2025-07,engineering,13,17500.0,227500.0,RD
2025-07,ga,4,15500.0,62000.0,GA
2025-07,marketing,4,14000.0,56000.0,SM
2025-07,sales_engineer,2,16500.0,33000.0,SM
2025-07,sdr,6,11000.0,66000.0,SM
2025-07,sdr_manager,2,16000.0,32000.0,SM
2025-08,ae,6,15000.0,90000.0,SM
2025-08,cs_am,7,12000.0,84000.0,COGS
2025-08,engineering,14,17500.0,245000.0,RD
2025-08,ga,4,15500.0,62000.0,GA
2025-08,marketing,4,14000.0,56000.0,SM
2025-08,sales_engineer,2,16500.0,33000.0,SM
2025-08,sdr,8,11000.0,88000.0,SM
2025-08,sdr_manager,2,16000.0,32000.0,SM
2025-09,ae,6,15000.0,90000.0,SM
2025-09,cs_am,7,12000.0,84000.0,COGS
2025-09,engineering,14,17500.0,245000.0,RD
2025-09,ga,4,15500.0,62000.0,GA
2025-09,marketing,4,14000.0,56000.0,SM
2025-09,sales_engineer,2,16500.0,33000.0,SM
2025-09,sdr,9,11000.0,99000.0,SM
2025-09,sdr_manager,2,16000.0,32000.0,SM
2025-10,ae,7,15000.0,105000.0,SM
2025-10,cs_am,7,12000.0,84000.0,COGS
2025-10,engineering,14,17500.0,245000.0,RD
2025-10,ga,4,15500.0,62000.0,GA
2025-10,marketing,4,14000.0,56000.0,SM
2025-10,sales_engineer,2,16500.0,33000.0,SM
2025-10,sdr,9,11000.0,99000.0,SM
2025-10,sdr_manager,2,16000.0,32000.0,SM
2025-11,ae,7,15000.0,105000.0,SM
2025-11,cs_am,8,12000.0,96000.0,COGS
2025-11,engineering,14,17500.0,245000.0,RD
2025-11,ga,4,15500.0,62000.0,GA
2025-11,marketing,4,14000.0,56000.0,SM
2025-11,sales_engineer,2,16500.0,33000.0,SM
2025-11,sdr,9,11000.0,99000.0,SM
2025-11,sdr_manager,2,16000.0,32000.0,SM
2025-12,ae,7,15000.0,105000.0,SM
2025-12,cs_am,8,12000.0,96000.0,COGS
2025-12,engineering,15,17500.0,262500.0,RD
2025-12,ga,5,15500.0,77500.0,GA
2025-12,marketing,5,14000.0,70000.0,SM
2025-12,sales_engineer,3,16500.0,49500.0,SM
2025-12,sdr,9,11000.0,99000.0,SM
2025-12,sdr_manager,2,16000.0,32000.0,SM
2026-01,ae,8,15000.0,120000.0,SM
2026-01,cs_am,8,12000.0,96000.0,COGS
2026-01,engineering,15,17500.0,262500.0,RD
2026-01,ga,5,15500.0,77500.0,GA
2026-01,marketing,5,14000.0,70000.0,SM
2026-01,sales_engineer,3,16500.0,49500.0,SM
2026-01,sdr,9,11000.0,99000.0,SM
2026-01,sdr_manager,2,16000.0,32000.0,SM
2026-02,ae,8,15000.0,120000.0,SM
2026-02,cs_am,8,12000.0,96000.0,COGS
2026-02,engineering,15,17500.0,262500.0,RD
2026-02,ga,5,15500.0,77500.0,GA
2026-02,marketing,5,14000.0,70000.0,SM
2026-02,sales_engineer,3,16500.0,49500.0,SM
2026-02,sdr,9,11000.0,99000.0,SM
2026-02,sdr_manager,2,16000.0,32000.0,SM
2026-03,ae,8,15000.0,120000.0,SM
2026-03,cs_am,8,12000.0,96000.0,COGS
2026-03,engineering,16,17500.0,280000.0,RD
2026-03,ga,5,15500.0,77500.0,GA
2026-03,marketing,5,14000.0,70000.0,SM
2026-03,sales_engineer,3,16500.0,49500.0,SM
2026-03,sdr,9,11000.0,99000.0,SM
2026-03,sdr_manager,2,16000.0,32000.0,SM
2026-04,ae,8,15000.0,120000.0,SM
2026-04,cs_am,8,12000.0,96000.0,COGS
2026-04,engineering,16,17500.0,280000.0,RD
2026-04,ga,5,15500.0,77500.0,GA
2026-04,marketing,5,14000.0,70000.0,SM
2026-04,sales_engineer,3,16500.0,49500.0,SM
2026-04,sdr,9,11000.0,99000.0,SM
2026-04,sdr_manager,2,16000.0,32000.0,SM
2026-05,ae,8,15000.0,120000.0,SM
2026-05,cs_am,8,12000.0,96000.0,COGS
2026-05,engineering,16,17500.0,280000.0,RD
2026-05,ga,5,15500.0,77500.0,GA
2026-05,marketing,5,14000.0,70000.0,SM
2026-05,sales_engineer,3,16500.0,49500.0,SM
2026-05,sdr,9,11000.0,99000.0,SM
2026-05,sdr_manager,2,16000.0,32000.0,SM
2026-06,ae,8,15000.0,120000.0,SM
2026-06,cs_am,9,12000.0,108000.0,COGS
2026-06,engineering,16,17500.0,280000.0,RD
2026-06,ga,5,15500.0,77500.0,GA
2026-06,marketing,5,14000.0,70000.0,SM
2026-06,sales_engineer,3,16500.0,49500.0,SM
2026-06,sdr,9,11000.0,99000.0,SM
2026-06,sdr_manager,2,16000.0,32000.0,SM
2026-07,ae,8,15000.0,120000.0,SM
2026-07,cs_am,9,12000.0,108000.0,COGS
2026-07,engineering,17,17500.0,297500.0,RD
2026-07,ga,5,15500.0,77500.0,GA
2026-07,marketing,5,14000.0,70000.0,SM
2026-07,sales_engineer,3,16500.0,49500.0,SM
2026-07,sdr,9,11000.0,99000.0,SM
2026-07,sdr_manager,2,16000.0,32000.0,SM
2026-08,ae,8,15000.0,120000.0,SM
2026-08,cs_am,9,12000.0,108000.0,COGS
2026-08,engineering,17,17500.0,297500.0,RD
2026-08,ga,5,15500.0,77500.0,GA
2026-08,marketing,5,14000.0,70000.0,SM
2026-08,sales_engineer,3,16500.0,49500.0,SM
2026-08,sdr,9,11000.0,99000.0,SM
2026-08,sdr_manager,2,16000.0,32000.0,SM
