month,channel,program_spend,cost_per_lead,leads,sqls
2023-09,events,5100.0,1450.0,3.5,1.1
2023-09,inbound_content,7650.0,210.0,36.4,8.7
2023-09,outbound_sdr,4000.0,0.0,25.0,7.5
2023-09,paid_search,17000.0,165.0,103.0,16.5
2023-09,paid_social,6000.0,96.0,62.5,7.2
2023-09,partner,3400.0,620.0,5.5,2.7
2023-10,events,5700.0,1456.52,3.9,1.2
2023-10,inbound_content,8200.0,210.42,39.0,9.4
2023-10,outbound_sdr,4333.33,0.0,25.0,7.5
2023-10,paid_search,17772.73,165.91,107.1,17.1
2023-10,paid_social,6384.62,95.14,67.1,7.7
2023-10,partner,3777.78,622.17,6.1,3.0
2023-11,events,6300.0,1463.08,4.3,1.3
2023-11,inbound_content,8750.0,210.84,41.5,10.0
2023-11,outbound_sdr,4666.67,0.0,25.0,7.5
2023-11,paid_search,18545.45,166.82,111.2,17.8
2023-11,paid_social,6769.23,94.28,71.8,8.3
2023-11,partner,4155.56,624.35,6.7,3.3
2023-12,events,6900.0,1469.66,4.7,1.5
2023-12,inbound_content,9300.0,211.26,44.0,10.6
2023-12,outbound_sdr,5000.0,0.0,25.0,7.5
2023-12,paid_search,19318.18,167.74,115.2,18.4
2023-12,paid_social,7153.85,93.43,76.6,8.8
2023-12,partner,4533.33,626.53,7.2,3.6
2024-01,events,7500.0,1476.28,5.1,1.6
2024-01,inbound_content,9850.0,211.69,46.5,11.2
2024-01,outbound_sdr,5333.33,0.0,25.0,7.5
2024-01,paid_search,20090.91,168.66,119.1,19.1
2024-01,paid_social,7538.46,92.59,81.4,9.4
2024-01,partner,4911.11,628.73,7.8,3.9
2024-02,events,8100.0,1482.92,5.5,1.7
2024-02,inbound_content,10400.0,212.11,49.0,11.8
2024-02,outbound_sdr,5666.67,0.0,29.4,8.8
2024-02,paid_search,20863.64,169.59,123.0,19.7
2024-02,paid_social,7923.08,91.76,86.3,9.9
2024-02,partner,5288.89,630.93,8.4,4.2
2024-03,events,8700.0,1489.59,5.8,1.8
