CustomerKey,CustomerId,CompanyName,Segment,Channel,ChannelLabel,ChannelGroup,Plan,Country,Industry,SignupMonth,CohortMonth,AcquisitionWindow,IsPreWindow,SegmentImputed,ChannelUnattributed,PlanImputed,IsChurned,ChurnMonth,EntryAcv
1,CUST-00001,Orchard Medical Supply Holdings,SMB,partner,Partner / Reseller,Partner,Growth,US,Food & Beverage,2021-10,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-10,4464.0
2,CUST-00002,Meridian Paper Ltd,SMB,paid_search,Paid Search,Paid,Growth,US,Medical Devices,2022-03,2023-09,Pre-window (no CAC),1,0,0,0,0,,5208.0
3,CUST-00003,Dune Medical Supply Inc,SMB,outbound_sdr,Outbound SDR,Outbound,Starter,US,Medical Devices,2023-06,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-08,3276.0
4,CUST-00004,Orchard Automotive Works,SMB,inbound_content,Inbound / Content,Inbound,Starter,US,Retail,2023-04,2023-09,Pre-window (no CAC),1,0,0,0,0,,3744.0
5,CUST-00005,Ridge Industrial LLC,SMB,events,Events / Field,Inbound,Starter,US,Automotive Parts,2021-12,2023-09,Pre-window (no CAC),1,0,0,0,0,,3276.0
6,CUST-00006,Bluff Wholesale Works,SMB,paid_search,Paid Search,Paid,Starter,US,Food & Beverage,2021-07,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-04,2808.0
7,CUST-00007,Bluff Materials LLC,SMB,partner,Partner / Reseller,Partner,Growth,DE,Medical Devices,2022-09,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-08,4464.0
8,CUST-00008,Halcyon Packaging LLC,SMB,paid_social,Paid Social,Paid,Growth,AU,Automotive Parts,2021-12,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-11,4464.0
9,CUST-00009,Lakeshore Components Group,SMB,inbound_content,Inbound / Content,Inbound,Growth,US,Apparel,2021-11,2023-09,Pre-window (no CAC),1,0,0,0,1,2026-05,6696.0
10,CUST-00010,Granite Hardware Group,Enterprise,paid_search,Paid Search,Paid,Enterprise,SE,Automotive Parts,2023-08,2023-09,Pre-window (no CAC),1,0,0,0,0,,36300.0
11,CUST-00011,Pioneer Materials LLC,SMB,paid_search,Paid Search,Paid,Growth,CA,3PL,2023-05,2023-09,Pre-window (no CAC),1,0,0,0,0,,4464.0
12,CUST-00012,Dune Packaging Ltd,MidMarket,paid_search,Paid Search,Paid,Scale,SE,Retail,2022-02,2023-09,Pre-window (no CAC),1,0,0,0,0,,10560.0
13,CUST-00013,Halcyon Supply LLC,SMB,inbound_content,Inbound / Content,Inbound,Starter,US,Retail,2023-04,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-07,3276.0
14,CUST-00014,Halcyon Hardware Co,SMB,inbound_content,Inbound / Content,Inbound,Growth,CA,Chemicals,2022-09,2023-09,Pre-window (no CAC),1,0,0,0,0,,5208.0
15,CUST-00015,Sterling Automotive Ltd,SMB,paid_search,Paid Search,Paid,Growth,US,Industrial Distribution,2021-07,2023-09,Pre-window (no CAC),1,0,0,0,1,2023-12,6696.0
