MonthKey,MonthLabel,MonthEndDate,MonthIndex,Year,Quarter,FiscalPeriod,MonthNumber,PeriodType
202309,2023-09,2023-09-30,1,2023,Q3,2023-Q3,9,Actual
202310,2023-10,2023-10-31,2,2023,Q4,2023-Q4,10,Actual
202311,2023-11,2023-11-30,3,2023,Q4,2023-Q4,11,Actual
202312,2023-12,2023-12-31,4,2023,Q4,2023-Q4,12,Actual
202401,2024-01,2024-01-31,5,2024,Q1,2024-Q1,1,Actual
202402,2024-02,2024-02-29,6,2024,Q1,2024-Q1,2,Actual
202403,2024-03,2024-03-31,7,2024,Q1,2024-Q1,3,Actual
202404,2024-04,2024-04-30,8,2024,Q2,2024-Q2,4,Actual
202405,2024-05,2024-05-31,9,2024,Q2,2024-Q2,5,Actual
202406,2024-06,2024-06-30,10,2024,Q2,2024-Q2,6,Actual
202407,2024-07,2024-07-31,11,2024,Q3,2024-Q3,7,Actual
202408,2024-08,2024-08-31,12,2024,Q3,2024-Q3,8,Actual
202409,2024-09,2024-09-30,13,2024,Q3,2024-Q3,9,Actual
202410,2024-10,2024-10-31,14,2024,Q4,2024-Q4,10,Actual
202411,2024-11,2024-11-30,15,2024,Q4,2024-Q4,11,Actual
202412,2024-12,2024-12-31,16,2024,Q4,2024-Q4,12,Actual
202501,2025-01,2025-01-31,17,2025,Q1,2025-Q1,1,Actual
202502,2025-02,2025-02-28,18,2025,Q1,2025-Q1,2,Actual
202503,2025-03,2025-03-31,19,2025,Q1,2025-Q1,3,Actual
202504,2025-04,2025-04-30,20,2025,Q2,2025-Q2,4,Actual
202505,2025-05,2025-05-31,21,2025,Q2,2025-Q2,5,Actual
202506,2025-06,2025-06-30,22,2025,Q2,2025-Q2,6,Actual
202507,2025-07,2025-07-31,23,2025,Q3,2025-Q3,7,Actual
202508,2025-08,2025-08-31,24,2025,Q3,2025-Q3,8,Actual
202509,2025-09,2025-09-30,25,2025,Q3,2025-Q3,9,Actual
202510,2025-10,2025-10-31,26,2025,Q4,2025-Q4,10,Actual
202511,2025-11,2025-11-30,27,2025,Q4,2025-Q4,11,Actual
202512,2025-12,2025-12-31,28,2025,Q4,2025-Q4,12,Actual
202601,2026-01,2026-01-31,29,2026,Q1,2026-Q1,1,Actual
202602,2026-02,2026-02-28,30,2026,Q1,2026-Q1,2,Actual
202603,2026-03,2026-03-31,31,2026,Q1,2026-Q1,3,Actual
202604,2026-04,2026-04-30,32,2026,Q2,2026-Q2,4,Actual
202605,2026-05,2026-05-31,33,2026,Q2,2026-Q2,5,Actual
202606,2026-06,2026-06-30,34,2026,Q2,2026-Q2,6,Actual
202607,2026-07,2026-07-31,35,2026,Q3,2026-Q3,7,Actual
202608,2026-08,2026-08-31,36,2026,Q3,2026-Q3,8,Actual
202609,2026-09,2026-09-30,37,2026,Q3,2026-Q3,9,Forecast
202610,2026-10,2026-10-31,38,2026,Q4,2026-Q4,10,Forecast
202611,2026-11,2026-11-30,39,2026,Q4,2026-Q4,11,Forecast
202612,2026-12,2026-12-31,40,2026,Q4,2026-Q4,12,Forecast
202701,2027-01,2027-01-31,41,2027,Q1,2027-Q1,1,Forecast
202702,2027-02,2027-02-28,42,2027,Q1,2027-Q1,2,Forecast
202703,2027-03,2027-03-31,43,2027,Q1,2027-Q1,3,Forecast
202704,2027-04,2027-04-30,44,2027,Q2,2027-Q2,4,Forecast
202705,2027-05,2027-05-31,45,2027,Q2,2027-Q2,5,Forecast
202706,2027-06,2027-06-30,46,2027,Q2,2027-Q2,6,Forecast
202707,2027-07,2027-07-31,47,2027,Q3,2027-Q3,7,Forecast
202708,2027-08,2027-08-31,48,2027,Q3,2027-Q3,8,Forecast
202709,2027-09,2027-09-30,49,2027,Q3,2027-Q3,9,Forecast
202710,2027-10,2027-10-31,50,2027,Q4,2027-Q4,10,Forecast
202711,2027-11,2027-11-30,51,2027,Q4,2027-Q4,11,Forecast
202712,2027-12,2027-12-31,52,2027,Q4,2027-Q4,12,Forecast
202801,2028-01,2028-01-31,53,2028,Q1,2028-Q1,1,Forecast
202802,2028-02,2028-02-29,54,2028,Q1,2028-Q1,2,Forecast
