CustomerKey,MonthKey,CreditAmount
134,202309,-254.18
224,202309,-195.22
310,202309,-646.6
311,202309,-113.25
330,202309,-136.04
386,202309,-115.46
387,202309,-97.87
449,202309,-54.7
28,202310,-87.97
92,202310,-42.11
140,202310,-40.97
143,202310,-112.42
420,202310,-133.88
8,202311,-158.17
13,202311,-143.99
122,202311,-135.46
160,202311,-220.86
203,202311,-204.74
229,202311,-70.19
312,202311,-591.06
331,202311,-66.43
53,202312,-1325.81
95,202312,-130.31
116,202312,-158.02
341,202312,-127.19
391,202312,-162.04
431,202312,-57.46
471,202312,-144.49
23,202401,-112.88
178,202401,-77.35
307,202401,-299.27
95,202402,-81.95
116,202402,-162.89
226,202402,-70.52
263,202402,-145.76
265,202402,-215.71
343,202402,-160.46
371,202402,-96.1
423,202402,-129.38
59,202403,-579.36
64,202403,-57.97
151,202403,-1011.39
427,202403,-650.78
43,202404,-142.25
45,202404,-75.86
104,202404,-109.56
158,202404,-175.62
236,202404,-117.27
242,202404,-141.54
313,202404,-112.69
320,202404,-70.47
326,202404,-48.29
396,202404,-1567.97
397,202404,-75.59
492,202404,-537.58
72,202405,-209.52
113,202405,-144.36
150,202405,-2037.22
221,202405,-719.77
222,202405,-55.4
269,202405,-106.39
355,202405,-934.66
424,202405,-237.46
458,202405,-202.78
5,202406,-81.89
66,202406,-91.18
163,202406,-185.24
204,202406,-120.16
85,202407,-185.11
158,202407,-81.87
414,202407,-486.28
418,202407,-452.48
4,202408,-174.19
77,202408,-444.46
89,202408,-157.05
151,202408,-557.68
195,202408,-174.51
283,202408,-129.14
314,202408,-154.42
376,202408,-285.54
506,202408,-302.88
46,202409,-220.83
4,202410,-154.79
21,202410,-717.97
140,202410,-114.63
178,202410,-67.04
268,202410,-100.35
328,202410,-120.7
447,202410,-316.78
3,202411,-53.79
33,202411,-126.21
92,202411,-126.79
129,202411,-67.09
151,202411,-1298.04
183,202411,-178.67
337,202411,-68.95
372,202411,-68.8
120,202412,-145.99
249,202412,-144.23
19,202501,-169.31
36,202501,-122.04
113,202501,-85.28
285,202501,-61.58
435,202501,-111.56
527,202501,-771.98
537,202501,-206.97
37,202502,-557.99
102,202502,-521.76
136,202502,-88.79
344,202502,-43.56
435,202502,-79.32
85,202503,-254.91
149,202503,-175.9
175,202503,-203.36
176,202503,-110.28
337,202503,-154.25
373,202503,-276.52
559,202503,-1367.75
320,202504,-121.3
358,202504,-113.37
421,202504,-164.46
480,202504,-672.86
28,202505,-124.91
79,202505,-94.59
279,202505,-717.46
496,202505,-769.0
32,202506,-179.25
211,202506,-41.21
392,202506,-3715.15
504,202506,-213.09
14,202507,-87.58
118,202507,-172.45
130,202507,-168.64
175,202507,-231.28
328,202507,-116.67
426,202507,-256.79
451,202507,-1380.54
461,202507,-188.06
8,202508,-112.75
16,202508,-415.08
43,202508,-91.52
72,202508,-49.58
119,202508,-210.39
183,202508,-85.39
226,202508,-88.22
450,202508,-155.33
524,202508,-313.45
640,202508,-503.75
48,202509,-168.74
128,202509,-217.18
215,202509,-135.95
238,202509,-60.59
246,202509,-618.9
313,202509,-112.45
393,202509,-158.81
426,202509,-161.82
477,202509,-481.56
510,202509,-912.48
591,202509,-109.94
610,202509,-190.61
643,202509,-409.91
104,202510,-90.66
201,202510,-78.81
238,202510,-143.2
283,202510,-236.86
312,202510,-205.27
424,202510,-257.08
491,202510,-375.21
496,202510,-490.1
648,202510,-834.99
661,202510,-358.66
19,202511,-127.27
80,202511,-58.68
149,202511,-174.25
161,202511,-153.09
210,202511,-269.44
224,202511,-277.46
311,202512,-158.17
424,202512,-191.89
574,202512,-164.41
4,202601,-121.29
95,202601,-205.91
334,202601,-171.32
338,202601,-221.68
388,202601,-124.44
503,202601,-403.79
540,202601,-103.82
571,202601,-452.15
199,202602,-196.57
560,202602,-136.95
705,202602,-1225.8
169,202603,-712.24
182,202603,-172.92
254,202603,-69.13
323,202603,-472.29
491,202603,-646.08
557,202603,-119.51
586,202603,-2886.04
587,202603,-733.97
630,202603,-2211.51
651,202603,-2073.29
669,202603,-1110.47
32,202604,-146.67
51,202604,-984.35
214,202604,-159.15
363,202604,-1144.75
475,202604,-1304.17
478,202604,-2719.09
542,202604,-555.59
708,202604,-1199.43
743,202604,-277.87
744,202604,-498.92
59,202605,-629.49
255,202605,-512.9
327,202605,-65.57
334,202605,-202.61
521,202605,-208.52
577,202605,-2617.93
717,202605,-624.9
4,202606,-101.96
21,202606,-915.55
191,202606,-245.56
214,202606,-84.91
473,202606,-181.73
496,202606,-439.19
614,202606,-549.21
210,202607,-578.94
305,202607,-85.31
414,202607,-748.29
425,202607,-3785.96
28,202608,-146.84
77,202608,-1264.96
85,202608,-236.71
158,202608,-215.88
182,202608,-191.34
272,202608,-528.89
633,202608,-1702.69
702,202608,-1302.7
714,202608,-197.54
