MonthKey,Role,Headcount,LoadedCostPerHead,TotalCost,CostCategory
202309,ae,3,15000.0,45000.0,SM
202309,cs_am,3,12000.0,36000.0,COGS
202309,engineering,8,17500.0,140000.0,RD
202309,ga,3,15500.0,46500.0,GA
202309,marketing,2,14000.0,28000.0,SM
202309,sales_engineer,1,16500.0,16500.0,SM
202309,sdr,2,11000.0,22000.0,SM
202309,sdr_manager,1,16000.0,16000.0,SM
202310,ae,3,15000.0,45000.0,SM
202310,cs_am,3,12000.0,36000.0,COGS
202310,engineering,8,17500.0,140000.0,RD
202310,ga,3,15500.0,46500.0,GA
202310,marketing,2,14000.0,28000.0,SM
202310,sales_engineer,1,16500.0,16500.0,SM
202310,sdr,2,11000.0,22000.0,SM
202310,sdr_manager,1,16000.0,16000.0,SM
202311,ae,3,15000.0,45000.0,SM
202311,cs_am,3,12000.0,36000.0,COGS
202311,engineering,8,17500.0,140000.0,RD
202311,ga,3,15500.0,46500.0,GA
202311,marketing,2,14000.0,28000.0,SM
202311,sales_engineer,1,16500.0,16500.0,SM
202311,sdr,2,11000.0,22000.0,SM
202311,sdr_manager,1,16000.0,16000.0,SM
202312,ae,4,15000.0,60000.0,SM
202312,cs_am,4,12000.0,48000.0,COGS
202312,engineering,9,17500.0,157500.0,RD
202312,ga,3,15500.0,46500.0,GA
202312,marketing,2,14000.0,28000.0,SM
202312,sales_engineer,1,16500.0,16500.0,SM
202312,sdr,2,11000.0,22000.0,SM
202312,sdr_manager,1,16000.0,16000.0,SM
202401,ae,4,15000.0,60000.0,SM
202401,cs_am,4,12000.0,48000.0,COGS
202401,engineering,9,17500.0,157500.0,RD
202401,ga,3,15500.0,46500.0,GA
202401,marketing,2,14000.0,28000.0,SM
202401,sales_engineer,1,16500.0,16500.0,SM
202401,sdr,2,11000.0,22000.0,SM
202401,sdr_manager,1,16000.0,16000.0,SM
202402,ae,4,15000.0,60000.0,SM
202402,cs_am,4,12000.0,48000.0,COGS
202402,engineering,9,17500.0,157500.0,RD
202402,ga,3,15500.0,46500.0,GA
202402,marketing,3,14000.0,42000.0,SM
202402,sales_engineer,1,16500.0,16500.0,SM
202402,sdr,3,11000.0,33000.0,SM
202402,sdr_manager,1,16000.0,16000.0,SM
202403,ae,4,15000.0,60000.0,SM
202403,cs_am,4,12000.0,48000.0,COGS
202403,engineering,9,17500.0,157500.0,RD
202403,ga,3,15500.0,46500.0,GA
202403,marketing,3,14000.0,42000.0,SM
202403,sales_engineer,1,16500.0,16500.0,SM
202403,sdr,3,11000.0,33000.0,SM
202403,sdr_manager,1,16000.0,16000.0,SM
202404,ae,4,15000.0,60000.0,SM
202404,cs_am,4,12000.0,48000.0,COGS
202404,engineering,10,17500.0,175000.0,RD
202404,ga,3,15500.0,46500.0,GA
202404,marketing,3,14000.0,42000.0,SM
202404,sales_engineer,1,16500.0,16500.0,SM
202404,sdr,3,11000.0,33000.0,SM
202404,sdr_manager,1,16000.0,16000.0,SM
202405,ae,4,15000.0,60000.0,SM
202405,cs_am,4,12000.0,48000.0,COGS
202405,engineering,10,17500.0,175000.0,RD
202405,ga,3,15500.0,46500.0,GA
202405,marketing,3,14000.0,42000.0,SM
202405,sales_engineer,1,16500.0,16500.0,SM
202405,sdr,3,11000.0,33000.0,SM
202405,sdr_manager,1,16000.0,16000.0,SM
202406,ae,5,15000.0,75000.0,SM
202406,cs_am,5,12000.0,60000.0,COGS
202406,engineering,10,17500.0,175000.0,RD
202406,ga,4,15500.0,62000.0,GA
202406,marketing,3,14000.0,42000.0,SM
202406,sales_engineer,2,16500.0,33000.0,SM
202406,sdr,3,11000.0,33000.0,SM
202406,sdr_manager,1,16000.0,16000.0,SM
202407,ae,5,15000.0,75000.0,SM
202407,cs_am,5,12000.0,60000.0,COGS
202407,engineering,10,17500.0,175000.0,RD
202407,ga,4,15500.0,62000.0,GA
202407,marketing,3,14000.0,42000.0,SM
202407,sales_engineer,2,16500.0,33000.0,SM
202407,sdr,3,11000.0,33000.0,SM
202407,sdr_manager,1,16000.0,16000.0,SM
202408,ae,5,15000.0,75000.0,SM
202408,cs_am,5,12000.0,60000.0,COGS
202408,engineering,11,17500.0,192500.0,RD
202408,ga,4,15500.0,62000.0,GA
202408,marketing,3,14000.0,42000.0,SM
202408,sales_engineer,2,16500.0,33000.0,SM
202408,sdr,3,11000.0,33000.0,SM
202408,sdr_manager,1,16000.0,16000.0,SM
202409,ae,5,15000.0,75000.0,SM
202409,cs_am,5,12000.0,60000.0,COGS
202409,engineering,11,17500.0,192500.0,RD
202409,ga,4,15500.0,62000.0,GA
202409,marketing,3,14000.0,42000.0,SM
202409,sales_engineer,2,16500.0,33000.0,SM
202409,sdr,4,11000.0,44000.0,SM
202409,sdr_manager,2,16000.0,32000.0,SM
202410,ae,5,15000.0,75000.0,SM
202410,cs_am,5,12000.0,60000.0,COGS
202410,engineering,11,17500.0,192500.0,RD
202410,ga,4,15500.0,62000.0,GA
202410,marketing,4,14000.0,56000.0,SM
202410,sales_engineer,2,16500.0,33000.0,SM
202410,sdr,4,11000.0,44000.0,SM
202410,sdr_manager,2,16000.0,32000.0,SM
202411,ae,5,15000.0,75000.0,SM
202411,cs_am,5,12000.0,60000.0,COGS
202411,engineering,11,17500.0,192500.0,RD
202411,ga,4,15500.0,62000.0,GA
202411,marketing,4,14000.0,56000.0,SM
202411,sales_engineer,2,16500.0,33000.0,SM
202411,sdr,4,11000.0,44000.0,SM
202411,sdr_manager,2,16000.0,32000.0,SM
202412,ae,5,15000.0,75000.0,SM
202412,cs_am,6,12000.0,72000.0,COGS
202412,engineering,12,17500.0,210000.0,RD
202412,ga,4,15500.0,62000.0,GA
202412,marketing,4,14000.0,56000.0,SM
202412,sales_engineer,2,16500.0,33000.0,SM
202412,sdr,4,11000.0,44000.0,SM
202412,sdr_manager,2,16000.0,32000.0,SM
202501,ae,5,15000.0,75000.0,SM
202501,cs_am,6,12000.0,72000.0,COGS
202501,engineering,12,17500.0,210000.0,RD
202501,ga,4,15500.0,62000.0,GA
202501,marketing,4,14000.0,56000.0,SM
202501,sales_engineer,2,16500.0,33000.0,SM
202501,sdr,4,11000.0,44000.0,SM
202501,sdr_manager,2,16000.0,32000.0,SM
202502,ae,6,15000.0,90000.0,SM
202502,cs_am,6,12000.0,72000.0,COGS
202502,engineering,12,17500.0,210000.0,RD
202502,ga,4,15500.0,62000.0,GA
202502,marketing,4,14000.0,56000.0,SM
202502,sales_engineer,2,16500.0,33000.0,SM
202502,sdr,4,11000.0,44000.0,SM
202502,sdr_manager,2,16000.0,32000.0,SM
202503,ae,6,15000.0,90000.0,SM
202503,cs_am,6,12000.0,72000.0,COGS
202503,engineering,12,17500.0,210000.0,RD
202503,ga,4,15500.0,62000.0,GA
202503,marketing,4,14000.0,56000.0,SM
202503,sales_engineer,2,16500.0,33000.0,SM
202503,sdr,4,11000.0,44000.0,SM
202503,sdr_manager,2,16000.0,32000.0,SM
202504,ae,6,15000.0,90000.0,SM
202504,cs_am,6,12000.0,72000.0,COGS
202504,engineering,13,17500.0,227500.0,RD
202504,ga,4,15500.0,62000.0,GA
202504,marketing,4,14000.0,56000.0,SM
202504,sales_engineer,2,16500.0,33000.0,SM
202504,sdr,5,11000.0,55000.0,SM
202504,sdr_manager,2,16000.0,32000.0,SM
202505,ae,6,15000.0,90000.0,SM
202505,cs_am,6,12000.0,72000.0,COGS
202505,engineering,13,17500.0,227500.0,RD
202505,ga,4,15500.0,62000.0,GA
202505,marketing,4,14000.0,56000.0,SM
202505,sales_engineer,2,16500.0,33000.0,SM
202505,sdr,5,11000.0,55000.0,SM
202505,sdr_manager,2,16000.0,32000.0,SM
202506,ae,6,15000.0,90000.0,SM
202506,cs_am,7,12000.0,84000.0,COGS
202506,engineering,13,17500.0,227500.0,RD
202506,ga,4,15500.0,62000.0,GA
202506,marketing,4,14000.0,56000.0,SM
202506,sales_engineer,2,16500.0,33000.0,SM
202506,sdr,5,11000.0,55000.0,SM
202506,sdr_manager,2,16000.0,32000.0,SM
202507,ae,6,15000.0,90000.0,SM
202507,cs_am,7,12000.0,84000.0,COGS
202507,engineering,13,17500.0,227500.0,RD
202507,ga,4,15500.0,62000.0,GA
202507,marketing,4,14000.0,56000.0,SM
202507,sales_engineer,2,16500.0,33000.0,SM
202507,sdr,6,11000.0,66000.0,SM
202507,sdr_manager,2,16000.0,32000.0,SM
202508,ae,6,15000.0,90000.0,SM
202508,cs_am,7,12000.0,84000.0,COGS
202508,engineering,14,17500.0,245000.0,RD
202508,ga,4,15500.0,62000.0,GA
202508,marketing,4,14000.0,56000.0,SM
202508,sales_engineer,2,16500.0,33000.0,SM
202508,sdr,8,11000.0,88000.0,SM
202508,sdr_manager,2,16000.0,32000.0,SM
202509,ae,6,15000.0,90000.0,SM
202509,cs_am,7,12000.0,84000.0,COGS
202509,engineering,14,17500.0,245000.0,RD
202509,ga,4,15500.0,62000.0,GA
202509,marketing,4,14000.0,56000.0,SM
202509,sales_engineer,2,16500.0,33000.0,SM
202509,sdr,9,11000.0,99000.0,SM
202509,sdr_manager,2,16000.0,32000.0,SM
202510,ae,7,15000.0,105000.0,SM
202510,cs_am,7,12000.0,84000.0,COGS
202510,engineering,14,17500.0,245000.0,RD
202510,ga,4,15500.0,62000.0,GA
202510,marketing,4,14000.0,56000.0,SM
202510,sales_engineer,2,16500.0,33000.0,SM
202510,sdr,9,11000.0,99000.0,SM
202510,sdr_manager,2,16000.0,32000.0,SM
202511,ae,7,15000.0,105000.0,SM
202511,cs_am,8,12000.0,96000.0,COGS
202511,engineering,14,17500.0,245000.0,RD
202511,ga,4,15500.0,62000.0,GA
202511,marketing,4,14000.0,56000.0,SM
202511,sales_engineer,2,16500.0,33000.0,SM
202511,sdr,9,11000.0,99000.0,SM
202511,sdr_manager,2,16000.0,32000.0,SM
202512,ae,7,15000.0,105000.0,SM
202512,cs_am,8,12000.0,96000.0,COGS
202512,engineering,15,17500.0,262500.0,RD
202512,ga,5,15500.0,77500.0,GA
202512,marketing,5,14000.0,70000.0,SM
202512,sales_engineer,3,16500.0,49500.0,SM
202512,sdr,9,11000.0,99000.0,SM
202512,sdr_manager,2,16000.0,32000.0,SM
202601,ae,8,15000.0,120000.0,SM
202601,cs_am,8,12000.0,96000.0,COGS
202601,engineering,15,17500.0,262500.0,RD
202601,ga,5,15500.0,77500.0,GA
202601,marketing,5,14000.0,70000.0,SM
202601,sales_engineer,3,16500.0,49500.0,SM
202601,sdr,9,11000.0,99000.0,SM
202601,sdr_manager,2,16000.0,32000.0,SM
202602,ae,8,15000.0,120000.0,SM
202602,cs_am,8,12000.0,96000.0,COGS
202602,engineering,15,17500.0,262500.0,RD
202602,ga,5,15500.0,77500.0,GA
202602,marketing,5,14000.0,70000.0,SM
202602,sales_engineer,3,16500.0,49500.0,SM
202602,sdr,9,11000.0,99000.0,SM
202602,sdr_manager,2,16000.0,32000.0,SM
202603,ae,8,15000.0,120000.0,SM
202603,cs_am,8,12000.0,96000.0,COGS
202603,engineering,16,17500.0,280000.0,RD
202603,ga,5,15500.0,77500.0,GA
202603,marketing,5,14000.0,70000.0,SM
202603,sales_engineer,3,16500.0,49500.0,SM
202603,sdr,9,11000.0,99000.0,SM
202603,sdr_manager,2,16000.0,32000.0,SM
202604,ae,8,15000.0,120000.0,SM
202604,cs_am,8,12000.0,96000.0,COGS
202604,engineering,16,17500.0,280000.0,RD
202604,ga,5,15500.0,77500.0,GA
202604,marketing,5,14000.0,70000.0,SM
202604,sales_engineer,3,16500.0,49500.0,SM
202604,sdr,9,11000.0,99000.0,SM
202604,sdr_manager,2,16000.0,32000.0,SM
202605,ae,8,15000.0,120000.0,SM
202605,cs_am,8,12000.0,96000.0,COGS
202605,engineering,16,17500.0,280000.0,RD
202605,ga,5,15500.0,77500.0,GA
202605,marketing,5,14000.0,70000.0,SM
202605,sales_engineer,3,16500.0,49500.0,SM
202605,sdr,9,11000.0,99000.0,SM
202605,sdr_manager,2,16000.0,32000.0,SM
202606,ae,8,15000.0,120000.0,SM
202606,cs_am,9,12000.0,108000.0,COGS
202606,engineering,16,17500.0,280000.0,RD
202606,ga,5,15500.0,77500.0,GA
202606,marketing,5,14000.0,70000.0,SM
202606,sales_engineer,3,16500.0,49500.0,SM
202606,sdr,9,11000.0,99000.0,SM
202606,sdr_manager,2,16000.0,32000.0,SM
202607,ae,8,15000.0,120000.0,SM
202607,cs_am,9,12000.0,108000.0,COGS
202607,engineering,17,17500.0,297500.0,RD
202607,ga,5,15500.0,77500.0,GA
202607,marketing,5,14000.0,70000.0,SM
202607,sales_engineer,3,16500.0,49500.0,SM
202607,sdr,9,11000.0,99000.0,SM
202607,sdr_manager,2,16000.0,32000.0,SM
202608,ae,8,15000.0,120000.0,SM
202608,cs_am,9,12000.0,108000.0,COGS
202608,engineering,17,17500.0,297500.0,RD
202608,ga,5,15500.0,77500.0,GA
202608,marketing,5,14000.0,70000.0,SM
202608,sales_engineer,3,16500.0,49500.0,SM
202608,sdr,9,11000.0,99000.0,SM
202608,sdr_manager,2,16000.0,32000.0,SM
