MonthKey,ChannelKey,ProgramSpend,CostPerLead,Leads,Sqls
202309,1,17000.0,165.0,103.0,16.5
202309,2,6000.0,96.0,62.5,7.2
202309,3,7650.0,210.0,36.4,8.7
202309,4,4000.0,0.0,25.0,7.5
202309,5,3400.0,620.0,5.5,2.7
202309,6,5100.0,1450.0,3.5,1.1
202310,1,17772.73,165.91,107.1,17.1
202310,2,6384.62,95.14,67.1,7.7
202310,3,8200.0,210.42,39.0,9.4
202310,4,4333.33,0.0,25.0,7.5
202310,5,3777.78,622.17,6.1,3.0
202310,6,5700.0,1456.52,3.9,1.2
202311,1,18545.45,166.82,111.2,17.8
202311,2,6769.23,94.28,71.8,8.3
202311,3,8750.0,210.84,41.5,10.0
202311,4,4666.67,0.0,25.0,7.5
202311,5,4155.56,624.35,6.7,3.3
202311,6,6300.0,1463.08,4.3,1.3
202312,1,19318.18,167.74,115.2,18.4
202312,2,7153.85,93.43,76.6,8.8
202312,3,9300.0,211.26,44.0,10.6
202312,4,5000.0,0.0,25.0,7.5
202312,5,4533.33,626.53,7.2,3.6
202312,6,6900.0,1469.66,4.7,1.5
202401,1,20090.91,168.66,119.1,19.1
202401,2,7538.46,92.59,81.4,9.4
202401,3,9850.0,211.69,46.5,11.2
202401,4,5333.33,0.0,25.0,7.5
202401,5,4911.11,628.73,7.8,3.9
202401,6,7500.0,1476.28,5.1,1.6
202402,1,20863.64,169.59,123.0,19.7
202402,2,7923.08,91.76,86.3,9.9
202402,3,10400.0,212.11,49.0,11.8
202402,4,5666.67,0.0,29.4,8.8
202402,5,5288.89,630.93,8.4,4.2
202402,6,8100.0,1482.92,5.5,1.7
202403,1,21636.36,170.52,126.9,20.3
202403,2,8307.69,90.93,91.4,10.5
202403,3,10950.0,212.53,51.5,12.4
202403,4,6000.0,0.0,33.8,10.1
202403,5,5666.67,633.13,9.0,4.5
202403,6,8700.0,1489.59,5.8,1.8
202404,1,22409.09,171.46,130.7,20.9
202404,2,8692.31,90.11,96.5,11.1
202404,3,11500.0,212.96,54.0,13.0
202404,4,6333.33,0.0,37.5,11.2
202404,5,6044.44,635.35,9.5,4.8
202404,6,9300.0,1496.3,6.2,1.9
202405,1,23181.82,172.4,134.5,21.5
202405,2,9076.92,89.3,101.6,11.7
202405,3,12050.0,213.38,56.5,13.6
202405,4,6666.67,0.0,37.5,11.2
202405,5,6422.22,637.57,10.1,5.0
202405,6,9900.0,1503.03,6.6,2.0
202406,1,23954.55,173.35,138.2,22.1
202406,2,9461.54,88.5,106.9,12.3
202406,3,12600.0,213.81,58.9,14.1
202406,4,7000.0,0.0,37.5,11.2
202406,5,6800.0,639.81,10.6,5.3
202406,6,10500.0,1509.79,7.0,2.2
202407,1,24727.27,174.3,141.9,22.7
202407,2,9846.15,87.7,112.3,12.9
202407,3,13150.0,214.24,61.4,14.7
202407,4,7333.33,0.0,37.5,11.2
202407,5,7177.78,642.04,11.2,5.6
202407,6,11100.0,1516.59,7.3,2.3
202408,1,25500.0,175.26,145.5,23.3
202408,2,10230.77,86.91,117.7,13.5
202408,3,13700.0,214.67,63.8,15.3
202408,4,7666.67,0.0,37.5,11.2
202408,5,7555.56,644.29,11.7,5.9
202408,6,11700.0,1523.41,7.7,2.4
202409,1,26491.67,176.23,150.3,24.1
202409,2,10615.38,86.13,123.2,14.2
202409,3,14250.0,215.1,66.2,15.9
202409,4,8000.0,0.0,41.9,12.6
202409,5,7933.33,646.55,12.3,6.1
202409,6,12300.0,1530.27,8.0,2.5
202410,1,27483.33,177.19,155.1,24.8
202410,2,11000.0,85.35,128.9,14.8
202410,3,14800.0,215.53,68.7,16.5
202410,4,8333.33,0.0,46.2,13.9
202410,5,8311.11,648.81,12.8,6.4
202410,6,12900.0,1537.15,8.4,2.6
202411,1,28475.0,178.17,159.8,25.6
202411,2,18000.0,84.59,212.8,21.3
202411,3,15350.0,215.96,71.1,17.1
202411,4,8666.67,0.0,50.0,15.0
202411,5,8688.89,651.08,13.3,6.7
202411,6,13500.0,1544.07,8.7,2.7
202412,1,29466.67,179.15,164.5,26.3
202412,2,21200.0,83.83,252.9,21.5
202412,3,15900.0,216.39,73.5,17.6
202412,4,9000.0,0.0,50.0,15.0
202412,5,9066.67,653.36,13.9,6.9
202412,6,14100.0,1551.02,9.1,2.8
202501,1,30458.33,180.13,169.1,27.1
202501,2,24400.0,83.07,293.7,20.6
202501,3,16450.0,216.82,75.9,18.2
202501,4,9333.33,0.0,50.0,15.0
202501,5,9444.44,655.65,14.4,7.2
202501,6,14700.0,1558.0,9.4,2.9
202502,1,31450.0,181.13,173.6,27.8
202502,2,27600.0,82.32,335.3,18.5
202502,3,17000.0,217.26,78.2,18.8
202502,4,9666.67,0.0,50.0,15.0
202502,5,9822.22,657.94,14.9,7.5
202502,6,15300.0,1565.01,9.8,3.0
202503,1,32441.67,182.12,178.1,28.5
202503,2,30800.0,81.58,377.5,20.8
202503,3,17661.11,217.69,81.1,19.5
202503,4,10000.0,0.0,50.0,15.0
202503,5,10200.0,660.24,15.4,7.7
202503,6,16008.33,1572.05,10.2,3.2
202504,1,33433.33,183.12,182.6,29.2
202504,2,34000.0,80.85,420.5,23.2
202504,3,18322.22,218.13,84.0,20.2
202504,4,10333.33,0.0,50.4,15.1
202504,5,10800.0,662.55,16.3,8.2
202504,6,16716.67,1579.13,10.6,3.3
202505,1,34425.0,184.13,187.0,29.9
202505,2,37000.0,80.12,461.8,25.5
202505,3,18983.33,218.56,86.9,20.8
202505,4,10666.67,0.0,54.5,16.3
202505,5,11400.0,664.87,17.1,8.6
202505,6,17425.0,1586.23,11.0,3.4
202506,1,35416.67,185.14,191.3,30.6
202506,2,40000.0,79.4,503.8,27.8
202506,3,19644.44,219.0,89.7,21.5
202506,4,11000.0,0.0,57.9,17.4
202506,5,12000.0,667.2,18.0,9.0
202506,6,18133.33,1593.37,11.4,3.5
202507,1,36408.33,186.16,195.6,31.3
202507,2,43000.0,78.68,546.5,30.2
202507,3,20305.56,219.44,92.5,22.2
202507,4,11333.33,0.0,58.3,17.5
202507,5,12600.0,669.54,18.8,9.4
202507,6,18841.67,1600.54,11.8,3.6
202508,1,37400.0,187.19,199.8,32.0
202508,2,46000.0,77.98,589.9,32.6
202508,3,20966.67,219.88,95.4,22.9
202508,4,11666.67,0.0,63.2,19.0
202508,5,13200.0,671.88,19.6,9.8
202508,6,19550.0,1607.74,12.2,3.8
202509,1,38533.33,188.21,204.7,32.8
