MonthKey,CostCategory,CostCenter,GlAccount,Amount
202309,COGS,cs_am,Personnel,36000.0
202309,COGS,infrastructure,Hosting,21519.48
202309,COGS,infrastructure,Third-party licences,12974.98
202309,GA,corporate,"Facilities, insurance, professional fees",40000.0
202309,GA,ga,Personnel,46500.0
202309,RD,engineering,Personnel,140000.0
202309,RD,engineering,R&D tooling,21000.0
202309,SM,ae,Personnel,45000.0
202309,SM,events,Marketing programmes,5100.0
202309,SM,inbound_content,Marketing programmes,7650.0
202309,SM,marketing,Marketing operations,12000.0
202309,SM,marketing,Personnel,28000.0
202309,SM,outbound_sdr,Marketing programmes,4000.0
202309,SM,paid_search,Marketing programmes,17000.0
202309,SM,paid_social,Marketing programmes,6000.0
202309,SM,partner,Marketing programmes,3400.0
202309,SM,sales,Sales commission,12806.4
202309,SM,sales_engineer,Personnel,16500.0
202309,SM,sdr,Personnel,22000.0
202309,SM,sdr_manager,Personnel,16000.0
202310,COGS,cs_am,Personnel,36000.0
202310,COGS,infrastructure,Hosting,21662.9
202310,COGS,infrastructure,Third-party licences,13061.45
202310,GA,corporate,"Facilities, insurance, professional fees",40500.0
202310,GA,ga,Personnel,46500.0
202310,RD,engineering,Personnel,140000.0
202310,RD,engineering,R&D tooling,21294.0
202310,SM,ae,Personnel,45000.0
202310,SM,events,Marketing programmes,5700.0
202310,SM,inbound_content,Marketing programmes,8200.0
202310,SM,marketing,Marketing operations,12138.0
202310,SM,marketing,Personnel,28000.0
202310,SM,outbound_sdr,Marketing programmes,4333.33
202310,SM,paid_search,Marketing programmes,17772.73
202310,SM,paid_social,Marketing programmes,6384.62
202310,SM,partner,Marketing programmes,3777.78
202310,SM,sales,Sales commission,5845.8
202310,SM,sales_engineer,Personnel,16500.0
202310,SM,sdr,Personnel,22000.0
202310,SM,sdr_manager,Personnel,16000.0
202311,COGS,cs_am,Personnel,36000.0
202311,COGS,infrastructure,Hosting,22238.45
202311,COGS,infrastructure,Third-party licences,13408.48
202311,GA,corporate,"Facilities, insurance, professional fees",41006.25
202311,GA,ga,Personnel,46500.0
202311,RD,engineering,Personnel,140000.0
202311,RD,engineering,R&D tooling,21592.12
202311,SM,ae,Personnel,45000.0
202311,SM,events,Marketing programmes,6300.0
202311,SM,inbound_content,Marketing programmes,8750.0
202311,SM,marketing,Marketing operations,12277.59
202311,SM,marketing,Personnel,28000.0
202311,SM,outbound_sdr,Marketing programmes,4666.67
202311,SM,paid_search,Marketing programmes,18545.45
202311,SM,paid_social,Marketing programmes,6769.23
202311,SM,partner,Marketing programmes,4155.56
