CustomerKey,MonthKey,Mrr,PriorMrr,Arr,Seats,SeatPrice,MovementType,MovementMrr,MovementArr,TenureMonths,OutlierFlag,IsActive
1,202309,372.0,0.0,4464.0,6,62.0,opening_balance,372.0,4464.0,1,0,1
2,202309,434.0,0.0,5208.0,7,62.0,opening_balance,434.0,5208.0,1,0,1
3,202309,273.0,0.0,3276.0,7,39.0,opening_balance,273.0,3276.0,1,0,1
4,202309,312.0,0.0,3744.0,8,39.0,opening_balance,312.0,3744.0,1,0,1
5,202309,273.0,0.0,3276.0,7,39.0,opening_balance,273.0,3276.0,1,0,1
6,202309,234.0,0.0,2808.0,6,39.0,opening_balance,234.0,2808.0,1,0,1
7,202309,372.0,0.0,4464.0,6,62.0,opening_balance,372.0,4464.0,1,0,1
8,202309,372.0,0.0,4464.0,6,62.0,opening_balance,372.0,4464.0,1,0,1
9,202309,558.0,0.0,6696.0,9,62.0,opening_balance,558.0,6696.0,1,0,1
10,202309,3025.0,0.0,36300.0,25,121.0,opening_balance,3025.0,36300.0,1,0,1
11,202309,372.0,0.0,4464.0,6,62.0,opening_balance,372.0,4464.0,1,0,1
12,202309,880.0,0.0,10560.0,10,88.0,opening_balance,880.0,10560.0,1,0,1
13,202309,273.0,0.0,3276.0,7,39.0,opening_balance,273.0,3276.0,1,0,1
14,202309,434.0,0.0,5208.0,7,62.0,opening_balance,434.0,5208.0,1,0,1
15,202309,558.0,0.0,6696.0,9,62.0,opening_balance,558.0,6696.0,1,0,1
16,202309,496.0,0.0,5952.0,8,62.0,opening_balance,496.0,5952.0,1,0,1
17,202309,372.0,0.0,4464.0,6,62.0,opening_balance,372.0,4464.0,1,0,1
18,202309,496.0,0.0,5952.0,8,62.0,opening_balance,496.0,5952.0,1,0,1
19,202309,273.0,0.0,3276.0,7,39.0,opening_balance,273.0,3276.0,1,0,1
20,202309,312.0,0.0,3744.0,8,39.0,opening_balance,312.0,3744.0,1,0,1
21,202309,2024.0,0.0,24288.0,23,88.0,opening_balance,2024.0,24288.0,1,0,1
22,202309,351.0,0.0,4212.0,9,39.0,opening_balance,351.0,4212.0,1,0,1
23,202309,312.0,0.0,3744.0,8,39.0,opening_balance,312.0,3744.0,1,0,1
24,202309,273.0,0.0,3276.0,7,39.0,opening_balance,273.0,3276.0,1,0,1
25,202309,496.0,0.0,5952.0,8,62.0,opening_balance,496.0,5952.0,1,0,1
26,202309,372.0,0.0,4464.0,6,62.0,opening_balance,372.0,4464.0,1,0,1
