month,arr,net_new_arr,arr_yoy_pct,recognised_revenue,gross_margin_pct,sales_and_marketing,sm_pct_of_revenue,net_burn,burn_3m_avg,runway_months
2023-09,3797556.0,,,314850.0,77.6,195456.0,62.1,198601.0,198601.0,30.7
2023-10,3822864.0,25308.0,,318155.0,77.8,191652.0,60.2,192516.0,195559.0,31.2
2023-11,3924432.0,101568.0,,325445.0,78.0,201980.0,62.1,197280.0,196132.0,31.1
2023-12,3943428.0,18996.0,,326514.0,74.3,211036.0,64.6,235755.0,208517.0,29.3
2024-01,4080096.0,136668.0,,339519.0,74.9,225117.0,66.3,238932.0,223989.0,27.2
2024-02,4167828.0,87732.0,,346256.0,75.2,251366.0,72.6,260043.0,244910.0,24.9
2024-03,4396488.0,228660.0,,364075.0,75.8,267641.0,73.5,261423.0,253466.0,24.1
2024-04,4532460.0,135972.0,,374530.0,76.2,263806.0,70.4,266726.0,262731.0,23.2
2024-05,4560888.0,28428.0,,375426.0,76.2,260277.0,69.3,263428.0,263859.0,23.1
2024-06,4596948.0,36060.0,,382601.0,73.4,288918.0,75.5,313604.0,281253.0,21.7
2024-07,4660368.0,63420.0,,387158.0,73.4,305571.0,78.9,327920.0,301651.0,20.2
2024-08,4793592.0,133224.0,,397086.0,73.9,298420.0,75.2,329703.0,323742.0,18.8
2024-09,4922244.0,128652.0,29.6,409966.0,74.5,336947.0,82.2,357434.0,338352.0,18.0
2024-10,5086416.0,164172.0,33.1,422276.0,74.9,356536.0,84.4,367132.0,351423.0,17.4
2024-11,5206284.0,119868.0,32.7,431869.0,75.2,360533.0,83.5,363565.0,362710.0,16.8
2024-12,5283480.0,77196.0,34.0,440000.0,72.7,362130.0,82.3,388184.0,372961.0,16.4
2025-01,5467728.0,184248.0,34.0,454115.0,73.2,377156.0,83.1,391733.0,381161.0,16.0
2025-02,5740561.0,272833.0,37.7,477089.0,74.0,414689.0,86.9,409748.0,396555.0,15.4
2025-03,5981704.0,241143.0,36.1,495932.0,74.5,414694.0,83.6,394090.0,398523.0,15.3
2025-04,6110156.0,128452.0,34.8,508108.0,74.9,418899.0,82.4,405789.0,403209.0,15.1
2025-05,6701810.0,591654.0,46.9,556778.0,76.1,476205.0,85.5,420815.0,406898.0,15.0
2025-06,6943910.0,242099.0,51.1,574510.0,74.4,442643.0,77.0,384749.0,403784.0,15.1
2025-07,7089000.0,145091.0,52.1,588148.0,74.7,460760.0,78.3,391877.0,399147.0,15.3
2025-08,7339454.0,250454.0,53.1,609596.0,75.3,483735.0,79.4,413948.0,396858.0,15.4
2025-09,8003094.0,663640.0,62.6,663186.0,76.4,550818.0,83.1,434658.0,413494.0,14.8
2025-10,8242779.0,239685.0,62.1,683827.0,76.8,527445.0,77.1,393853.0,414153.0,14.7
2025-11,8420322.0,177544.0,61.7,700633.0,75.4,535979.0,76.5,400224.0,409578.0,14.9
2025-12,8901986.0,481664.0,68.5,741318.0,76.1,595392.0,80.3,457441.0,417173.0,14.6
2026-01,9491563.0,589577.0,73.6,789159.0,76.9,625109.0,79.2,445813.0,434493.0,14.0
2026-02,10102594.0,611031.0,76.0,840324.0,77.7,642364.0,76.4,418582.0,440612.0,13.8
2026-03,10309705.0,207111.0,72.4,847935.0,77.6,608783.0,71.8,397927.0,420774.0,14.5
2026-04,10679261.0,369556.0,74.8,880948.0,78.1,634199.0,72.0,395012.0,403840.0,15.1
2026-05,11107298.0,428037.0,65.7,920746.0,78.6,637720.0,69.3,363657.0,385532.0,15.8
2026-06,11625622.0,518324.0,67.4,966284.0,77.9,657286.0,68.0,355596.0,371422.0,16.4
2026-07,11966181.0,340559.0,68.8,991983.0,78.2,636947.0,64.2,331370.0,350208.0,17.4
2026-08,12374314.0,408133.0,68.6,1025405.0,78.5,654867.0,63.9,320810.0,335925.0,18.2
