cohort,months_since,live_logos,cohort_size,cohort_mrr,cohort_mrr_m0,revenue_retention_pct,logo_retention_pct
2023-09,0,6,6,10672.0,10672.0,100.0,100.0
2023-09,1,6,6,10672.0,10672.0,100.0,100.0
2023-09,2,6,6,10672.0,10672.0,100.0,100.0
2023-09,3,6,6,10672.0,10672.0,100.0,100.0
2023-09,4,6,6,10672.0,10672.0,100.0,100.0
2023-09,5,6,6,10672.0,10672.0,100.0,100.0
2023-09,6,6,6,10734.0,10672.0,100.6,100.0
2023-09,7,6,6,10734.0,10672.0,100.6,100.0
2023-09,8,6,6,10672.0,10672.0,100.0,100.0
2023-09,9,6,6,10672.0,10672.0,100.0,100.0
2023-09,10,6,6,10610.0,10672.0,99.4,100.0
2023-09,11,5,6,8410.0,10672.0,78.8,83.3
2023-09,12,5,6,8410.0,10672.0,78.8,83.3
2023-09,13,5,6,8410.0,10672.0,78.8,83.3
2023-09,14,5,6,8586.0,10672.0,80.5,83.3
2023-09,15,5,6,8586.0,10672.0,80.5,83.3
2023-09,16,5,6,8762.0,10672.0,82.1,83.3
2023-09,17,5,6,8762.0,10672.0,82.1,83.3
2023-09,18,5,6,8762.0,10672.0,82.1,83.3
2023-09,19,5,6,8586.0,10672.0,80.5,83.3
2023-09,20,5,6,8850.0,10672.0,82.9,83.3
2023-09,21,5,6,8788.0,10672.0,82.3,83.3
2023-09,22,5,6,8612.0,10672.0,80.7,83.3
2023-09,23,5,6,8964.0,10672.0,84.0,83.3
2023-09,24,5,6,9560.24,10672.0,89.6,83.3
2023-09,25,5,6,9912.24,10672.0,92.9,83.3
2023-09,26,5,6,9912.24,10672.0,92.9,83.3
2023-09,27,5,6,9985.4,10672.0,93.6,83.3
2023-09,28,5,6,9985.4,10672.0,93.6,83.3
2023-09,29,5,6,9985.4,10672.0,93.6,83.3
2023-09,30,5,6,10161.4,10672.0,95.2,83.3
2023-09,31,4,6,7169.4,10672.0,67.2,66.7
2023-09,32,4,6,7169.4,10672.0,67.2,66.7
2023-09,33,4,6,7169.4,10672.0,67.2,66.7
2023-09,34,4,6,7169.4,10672.0,67.2,66.7
2023-09,35,4,6,6847.08,10672.0,64.2,66.7
PRE-WINDOW,0,452,452,305791.0,305791.0,100.0,100.0
PRE-WINDOW,1,442,452,304150.0,305791.0,99.5,97.8
PRE-WINDOW,2,437,452,302808.0,305791.0,99.0,96.7
PRE-WINDOW,3,430,452,302593.0,305791.0,99.0,95.1
PRE-WINDOW,4,426,452,303250.0,305791.0,99.2,94.2
PRE-WINDOW,5,421,452,302053.0,305791.0,98.8,93.1
PRE-WINDOW,6,413,452,301420.0,305791.0,98.6,91.4
PRE-WINDOW,7,407,452,297867.0,305791.0,97.4,90.0
PRE-WINDOW,8,400,452,295372.0,305791.0,96.6,88.5
PRE-WINDOW,9,394,452,294450.0,305791.0,96.3,87.2
PRE-WINDOW,10,388,452,285662.0,305791.0,93.4,85.8
PRE-WINDOW,11,384,452,292740.0,305791.0,95.7,85.0
PRE-WINDOW,12,374,452,290589.0,305791.0,95.0,82.7
PRE-WINDOW,13,367,452,290998.0,305791.0,95.2,81.2
PRE-WINDOW,14,362,452,291116.0,305791.0,95.2,80.1
PRE-WINDOW,15,357,452,290513.0,305791.0,95.0,79.0
PRE-WINDOW,16,353,452,291448.0,305791.0,95.3,78.1
PRE-WINDOW,17,342,452,287647.1,305791.0,94.1,75.7
PRE-WINDOW,18,336,452,288663.36,305791.0,94.4,74.3
PRE-WINDOW,19,330,452,289522.06,305791.0,94.7,73.0
PRE-WINDOW,20,324,452,287720.8,305791.0,94.1,71.7
PRE-WINDOW,21,318,452,291469.12,305791.0,95.3,70.4
PRE-WINDOW,22,314,452,290280.0,305791.0,94.9,69.5
PRE-WINDOW,23,309,452,296285.82,305791.0,96.9,68.4
PRE-WINDOW,24,305,452,299089.34,305791.0,97.8,67.5
PRE-WINDOW,25,303,452,300166.34,305791.0,98.2,67.0
PRE-WINDOW,26,296,452,295799.98,305791.0,96.7,65.5
PRE-WINDOW,27,288,452,295231.56,305791.0,96.5,63.7
PRE-WINDOW,28,282,452,296965.66,305791.0,97.1,62.4
PRE-WINDOW,29,280,452,299736.4,305791.0,98.0,61.9
PRE-WINDOW,30,276,452,301675.38,305791.0,98.7,61.1
PRE-WINDOW,31,271,452,300175.7,305791.0,98.2,60.0
PRE-WINDOW,32,268,452,300829.5,305791.0,98.4,59.3
PRE-WINDOW,33,264,452,298171.08,305791.0,97.5,58.4
PRE-WINDOW,34,260,452,299380.84,305791.0,97.9,57.5
PRE-WINDOW,35,256,452,303756.72,305791.0,99.3,56.6
2023-10,0,4,4,3750.0,3750.0,100.0,100.0
