month,cohorts_present,cohort_sum_mrr,warehouse_total_mrr,variance_must_be_zero,status
2023-09,2,316463.0,316463.0,0.0,PASS
2023-10,3,318572.0,318572.0,0.0,PASS
2023-11,4,327036.0,327036.0,0.0,PASS
2023-12,5,328619.0,328619.0,0.0,PASS
2024-01,6,340008.0,340008.0,0.0,PASS
2024-02,7,347319.0,347319.0,0.0,PASS
2024-03,8,366374.0,366374.0,0.0,PASS
2024-04,9,377705.0,377705.0,0.0,PASS
2024-05,10,380074.0,380074.0,0.0,PASS
2024-06,11,383079.0,383079.0,0.0,PASS
2024-07,12,388364.0,388364.0,0.0,PASS
2024-08,13,399466.0,399466.0,0.0,PASS
2024-09,14,410187.0,410187.0,0.0,PASS
2024-10,15,423868.0,423868.0,0.0,PASS
2024-11,16,433857.0,433857.0,0.0,PASS
2024-12,17,440290.0,440290.0,0.0,PASS
2025-01,18,455644.0,455644.0,0.0,PASS
2025-02,19,478380.1,478380.1,0.0,PASS
2025-03,20,498475.36,498475.36,0.0,PASS
2025-04,21,509179.7,509179.7,0.0,PASS
2025-05,22,558484.2,558484.2,0.0,PASS
2025-06,23,578659.14,578659.14,0.0,PASS
2025-07,24,590750.04,590750.04,0.0,PASS
2025-08,25,611621.18,611621.18,0.0,PASS
2025-09,26,666924.5,666924.5,0.0,PASS
2025-10,27,686898.22,686898.22,0.0,PASS
2025-11,28,701693.54,701693.54,0.0,PASS
2025-12,29,741832.2,741832.2,0.0,PASS
2026-01,30,790963.62,790963.62,0.0,PASS
2026-02,31,841882.84,841882.84,0.0,PASS
2026-03,32,859142.06,859142.06,0.0,PASS
2026-04,33,889938.42,889938.42,0.0,PASS
2026-05,33,925608.14,925608.14,0.0,PASS
2026-06,34,968801.82,968801.82,0.0,PASS
2026-07,35,997181.74,997181.74,0.0,PASS
2026-08,36,1031192.8,1031192.8,-0.0,PASS
