as_of_month,anchor_logos,anchor_arr,nrr_pct,grr_pct,expansion_pct,churn_pct,contraction_pct,logo_churn_pct
2024-09,458,3797556.0,94.5,85.8,8.6,12.7,1.5,17.2
2024-10,452,3822864.0,95.1,85.9,9.2,12.6,1.4,17.0
2024-11,453,3924432.0,95.6,86.4,9.2,12.5,1.2,17.2
2024-12,449,3943428.0,95.4,86.4,9.0,12.3,1.2,16.9
2025-01,451,4080096.0,95.7,86.8,9.0,12.1,1.1,17.3
2025-02,445,4167828.0,96.1,87.0,9.1,11.9,1.1,18.4
2025-03,442,4396488.0,95.7,86.5,9.2,12.5,1.0,18.6
2025-04,445,4532460.0,97.1,87.6,9.6,11.5,0.9,18.7
2025-05,445,4560888.0,98.1,88.5,9.6,10.5,1.0,18.4
2025-06,443,4596948.0,99.4,88.8,10.6,10.3,0.9,18.5
2025-07,441,4660368.0,99.9,89.1,10.8,10.0,0.9,18.4
2025-08,441,4793592.0,102.7,89.8,12.8,9.4,0.7,18.6
2025-09,443,4922244.0,103.9,90.5,13.4,8.9,0.6,18.1
2025-10,443,5086416.0,104.8,91.1,13.7,8.2,0.7,17.2
2025-11,444,5206284.0,103.6,90.4,13.2,9.0,0.6,17.6
2025-12,447,5283480.0,103.9,89.8,14.0,9.5,0.6,19.0
2026-01,451,5467728.0,104.0,89.8,14.2,9.6,0.6,19.3
2026-02,450,5740561.0,105.5,90.5,14.9,8.9,0.6,18.0
2026-03,449,5981704.0,106.5,90.6,15.9,8.9,0.5,18.0
2026-04,450,6110156.0,104.6,88.8,15.8,10.6,0.6,19.6
2026-05,461,6701810.0,104.3,88.9,15.4,10.5,0.6,18.9
2026-06,467,6943910.0,103.2,88.4,14.8,10.9,0.7,19.3
2026-07,467,7089000.0,104.6,89.5,15.2,9.9,0.6,18.8
2026-08,468,7339454.0,104.7,89.6,15.2,9.4,1.1,17.7
