as_of_month,segment,anchor_logos,anchor_arr,nrr_pct,grr_pct,expansion_pct
2024-09,Enterprise,21,887172.0,104.7,93.8,11.0
2024-09,MidMarket,97,1530276.0,97.2,87.9,9.3
2024-09,SMB,340,1380108.0,84.8,78.4,6.4
2024-10,Enterprise,21,891528.0,105.9,93.8,12.1
2024-10,MidMarket,97,1554564.0,97.8,88.0,9.8
2024-10,SMB,334,1376772.0,85.0,78.4,6.6
2024-11,Enterprise,21,891528.0,108.6,95.0,13.7
2024-11,MidMarket,99,1645380.0,98.1,89.0,9.1
2024-11,SMB,333,1387524.0,84.2,77.7,6.5
2024-12,Enterprise,21,891528.0,108.6,95.0,13.7
2024-12,MidMarket,99,1666500.0,97.3,88.4,8.9
2024-12,SMB,329,1385400.0,84.6,78.6,6.1
2025-01,Enterprise,22,956868.0,108.5,95.3,13.2
2025-01,MidMarket,101,1736196.0,97.8,88.9,8.9
2025-01,SMB,328,1387032.0,84.3,78.2,6.1
2025-02,Enterprise,23,1087548.0,108.7,95.9,12.8
2025-02,MidMarket,99,1714020.0,99.1,90.1,9.0
2025-02,SMB,323,1366260.0,82.2,76.0,6.2
2025-03,Enterprise,25,1245816.0,107.2,96.4,10.8
2025-03,MidMarket,101,1802724.0,97.2,87.7,9.5
2025-03,SMB,316,1347948.0,82.9,75.6,7.3
2025-04,Enterprise,24,1208064.0,110.6,99.6,10.9
2025-04,MidMarket,107,1968252.0,97.9,88.6,9.3
2025-04,SMB,314,1356144.0,84.0,75.3,8.7
2025-05,Enterprise,24,1208064.0,110.6,99.9,10.7
2025-05,MidMarket,108,1978812.0,100.0,91.1,8.9
2025-05,SMB,313,1374012.0,84.6,74.9,9.7
2025-06,Enterprise,24,1213872.0,112.8,99.9,12.9
2025-06,MidMarket,109,2007324.0,101.5,92.3,9.2
2025-06,SMB,310,1375752.0,84.5,74.0,10.5
2025-07,Enterprise,24,1232748.0,113.1,99.6,13.4
2025-07,MidMarket,109,2048508.0,102.0,93.0,9.0
2025-07,SMB,308,1379112.0,85.0,73.9,11.1
2025-08,Enterprise,25,1331484.0,116.2,99.7,16.6
2025-08,MidMarket,109,2067516.0,105.6,95.0,10.6
2025-08,SMB,307,1394592.0,85.4,72.8,12.6
2025-09,Enterprise,25,1354716.0,117.5,99.7,17.8
2025-09,MidMarket,110,2124540.0,107.0,96.5,10.5
2025-09,SMB,308,1442988.0,86.5,73.0,13.5
2025-10,Enterprise,25,1360524.0,118.5,100.0,18.5
2025-10,MidMarket,112,2269344.0,107.4,97.0,10.4
2025-10,SMB,306,1456548.0,87.9,73.6,14.2
2025-11,Enterprise,25,1395372.0,112.6,96.8,15.8
2025-11,MidMarket,114,2348544.0,107.3,96.8,10.6
2025-11,SMB,305,1462368.0,89.1,74.1,15.0
2025-12,Enterprise,25,1404084.0,115.4,96.5,18.9
2025-12,MidMarket,114,2385504.0,107.1,96.8,10.4
2025-12,SMB,308,1493892.0,87.9,72.5,15.4
2026-01,Enterprise,26,1460712.0,116.8,96.6,20.2
2026-01,MidMarket,117,2484768.0,106.3,96.4,9.9
2026-01,SMB,308,1522248.0,88.0,72.4,15.6
2026-02,Enterprise,28,1706100.0,118.3,97.1,21.2
2026-02,MidMarket,119,2520672.0,106.6,96.1,10.5
2026-02,SMB,303,1513789.0,89.0,73.8,15.2
2026-03,Enterprise,29,1804836.0,120.0,96.9,23.1
2026-03,MidMarket,122,2667456.0,108.0,96.2,11.7
2026-03,SMB,298,1509412.0,87.8,73.1,14.7
2026-04,Enterprise,30,1857108.0,121.6,97.0,24.6
2026-04,MidMarket,123,2706528.0,105.6,94.0,11.6
2026-04,SMB,297,1546520.0,82.6,69.9,12.7
2026-05,Enterprise,32,2163480.0,121.8,97.4,24.4
2026-05,MidMarket,131,2971584.0,102.5,91.5,11.1
2026-05,SMB,298,1566746.0,83.3,72.1,11.2
2026-06,Enterprise,32,2196876.0,121.6,97.7,23.9
2026-06,MidMarket,136,3146880.0,101.3,90.6,10.7
2026-06,SMB,299,1600154.0,81.7,71.3,10.4
2026-07,Enterprise,33,2273832.0,121.9,97.8,24.1
2026-07,MidMarket,139,3220668.0,104.4,92.9,11.5
2026-07,SMB,295,1594500.0,80.4,70.8,9.7
2026-08,Enterprise,33,2334816.0,121.1,96.6,24.4
2026-08,MidMarket,142,3373920.0,104.4,92.9,11.4
2026-08,SMB,293,1630718.0,82.0,72.4,9.6
