cut_type,cut_key,channel,segment,n_wins,caveat,avg_acv,cac_equal_split,cac_effort_weighted,monthly_gross_profit,payback_months,payback_months_effort_wtd
by_period,P2 2024-09..2025-08,events,,1,THIN,42240.0,220358.0,220358.0,2746.0,80.3,80.3
by_period,P3 2025-09..2026-08,events,,2,THIN,59070.0,174244.0,174244.0,3652.0,47.7,47.7
by_period,P1 2023-09..2024-08,inbound_content,,6,THIN,29312.0,48948.0,48948.0,1876.0,26.1,26.1
by_period,P2 2024-09..2025-08,inbound_content,,11,,39884.0,40296.0,40296.0,2538.0,15.9,15.9
by_period,P3 2025-09..2026-08,inbound_content,,23,,26580.0,30988.0,30988.0,1712.0,18.1,18.1
by_period,P1 2023-09..2024-08,outbound_sdr,,13,,29721.0,94205.0,94205.0,1907.0,49.4,49.4
by_period,P2 2024-09..2025-08,outbound_sdr,,30,,38391.0,72836.0,72836.0,2426.0,30.0,30.0
by_period,P3 2025-09..2026-08,outbound_sdr,,46,,44037.0,70164.0,70164.0,2766.0,25.4,25.4
by_period,P1 2023-09..2024-08,paid_search,,35,,19994.0,24982.0,24982.0,1286.0,19.4,19.4
by_period,P2 2024-09..2025-08,paid_search,,59,,11076.0,18582.0,18582.0,739.0,25.1,25.1
by_period,P3 2025-09..2026-08,paid_search,,57,,14935.0,20558.0,20558.0,981.0,21.0,21.0
by_period,P1 2023-09..2024-08,paid_social,,3,THIN,7936.0,46710.0,46710.0,542.0,86.1,86.1
by_period,P2 2024-09..2025-08,paid_social,,21,,6130.0,26385.0,26385.0,419.0,63.0,63.0
by_period,P3 2025-09..2026-08,paid_social,,36,,6706.0,30267.0,30267.0,451.0,67.1,67.1
by_period,P1 2023-09..2024-08,partner,,4,THIN,20154.0,38630.0,38630.0,1316.0,29.4,29.4
by_period,P2 2024-09..2025-08,partner,,4,THIN,24816.0,47462.0,47462.0,1613.0,29.4,29.4
by_period,P3 2025-09..2026-08,partner,,16,,37364.0,28956.0,28956.0,2389.0,12.1,12.1
by_segment,P3 2025-09..2026-08,events,Enterprise,1,THIN,100188.0,174244.0,224831.0,6137.0,28.4,36.6
by_segment,P3 2025-09..2026-08,events,MidMarket,1,THIN,17952.0,174244.0,123657.0,1167.0,149.3,106.0
by_segment,P3 2025-09..2026-08,inbound_content,Enterprise,2,THIN,79134.0,30988.0,67557.0,4847.0,6.4,13.9
by_segment,P3 2025-09..2026-08,inbound_content,MidMarket,11,,34560.0,30988.0,37156.0,2246.0,13.8,16.5
by_segment,P3 2025-09..2026-08,inbound_content,SMB,10,,7291.0,30988.0,16889.0,498.0,62.2,33.9
by_segment,P3 2025-09..2026-08,outbound_sdr,Enterprise,13,,93486.0,70164.0,107765.0,5726.0,12.3,18.8
by_segment,P3 2025-09..2026-08,outbound_sdr,MidMarket,29,,26764.0,70164.0,59271.0,1740.0,40.3,34.1
by_segment,P3 2025-09..2026-08,outbound_sdr,SMB,4,THIN,8556.0,70164.0,26941.0,585.0,120.0,46.1
by_segment,P3 2025-09..2026-08,paid_search,Enterprise,2,THIN,55176.0,20558.0,57023.0,3380.0,6.1,16.9
by_segment,P3 2025-09..2026-08,paid_search,MidMarket,16,,27522.0,20558.0,31363.0,1789.0,11.5,17.5
by_segment,P3 2025-09..2026-08,paid_search,SMB,39,,7708.0,20558.0,14256.0,527.0,39.0,27.1
by_segment,P3 2025-09..2026-08,paid_social,MidMarket,4,THIN,19272.0,30267.0,58753.0,1253.0,24.2,46.9
by_segment,P3 2025-09..2026-08,paid_social,SMB,32,,5136.0,30267.0,26706.0,351.0,86.2,76.1
by_segment,P3 2025-09..2026-08,partner,Enterprise,2,THIN,87846.0,28956.0,49287.0,5381.0,5.4,9.2
by_segment,P3 2025-09..2026-08,partner,MidMarket,13,,31842.0,28956.0,27108.0,2070.0,14.0,13.1
by_segment,P3 2025-09..2026-08,partner,SMB,1,THIN,8184.0,28956.0,12322.0,559.0,51.8,22.0
