channel,half,cohort_logos,cohort_new_arr,avg_acv,revenue_retention_m6_pct,logo_retention_m6_pct
inbound_content,2024 H1,4,143520.0,35880.0,63.9,75.0
inbound_content,2024 H2,6,166368.0,27728.0,92.4,66.7
inbound_content,2025 H1,4,215328.0,53832.0,100.0,100.0
inbound_content,2025 H2,11,365592.0,33236.0,110.5,100.0
inbound_content,2026 H1,3,21576.0,7192.0,103.4,100.0
outbound_sdr,2023 H2,3,56016.0,18672.0,100.0,100.0
outbound_sdr,2024 H1,7,165096.0,23585.0,101.3,100.0
outbound_sdr,2024 H2,9,306072.0,34008.0,100.7,100.0
outbound_sdr,2025 H1,20,881172.0,44059.0,101.5,85.0
outbound_sdr,2025 H2,18,742632.0,41257.0,104.4,100.0
outbound_sdr,2026 H1,10,604692.0,60469.0,114.8,100.0
paid_search,2023 H2,12,206832.0,17236.0,95.7,83.3
paid_search,2024 H1,20,466908.0,23345.0,100.7,95.0
paid_search,2024 H2,18,163392.0,9077.0,92.1,83.3
paid_search,2025 H1,36,417984.0,11611.0,75.0,77.8
paid_search,2025 H2,24,345888.0,14412.0,97.6,91.7
paid_search,2026 H1,9,182472.0,20275.0,89.4,77.8
paid_social,2024 H2,8,60288.0,7536.0,91.4,87.5
paid_social,2025 H1,10,52788.0,5279.0,64.8,70.0
paid_social,2025 H2,15,79956.0,5330.0,66.1,60.0
paid_social,2026 H1,6,85104.0,14184.0,98.8,83.3
partner,2024 H2,3,60552.0,20184.0,100.0,100.0
partner,2025 H2,4,144672.0,36168.0,82.6,75.0
partner,2026 H1,4,201036.0,50259.0,114.6,100.0
