month,sdr_heads,meetings,meetings_per_rep,qualified_opps,wins,new_acv,outbound_direct_cost,heads_added,marginal_meetings_per_added_rep
2023-09,2,25.0,12.5,7.5,3,56016.0,42000.0,,
2023-10,2,25.0,12.5,7.5,0,0.0,42333.0,0.0,
2023-11,2,25.0,12.5,7.5,0,0.0,42667.0,0.0,
2023-12,2,25.0,12.5,7.5,0,0.0,43000.0,0.0,
2024-01,2,25.0,12.5,7.5,1,22176.0,43333.0,0.0,
2024-02,3,29.4,9.8,8.8,0,0.0,54667.0,1.0,4.4
2024-03,3,33.8,11.27,10.1,1,6696.0,55000.0,0.0,
2024-04,3,37.5,12.5,11.2,4,109824.0,55333.0,0.0,
2024-05,3,37.5,12.5,11.2,1,26400.0,55667.0,0.0,
2024-06,3,37.5,12.5,11.2,0,0.0,56000.0,0.0,
2024-07,3,37.5,12.5,11.2,2,137808.0,56333.0,0.0,
2024-08,3,37.5,12.5,11.2,1,27456.0,56667.0,0.0,
2024-09,4,41.9,10.47,12.6,1,28512.0,84000.0,1.0,4.4
2024-10,4,46.2,11.55,13.9,1,26400.0,84333.0,0.0,
2024-11,4,50.0,12.5,15.0,3,59496.0,84667.0,0.0,
2024-12,4,50.0,12.5,15.0,1,26400.0,85000.0,0.0,
2025-01,4,50.0,12.5,15.0,2,49632.0,85333.0,0.0,
2025-02,4,50.0,12.5,15.0,2,230868.0,85667.0,0.0,
2025-03,4,50.0,12.5,15.0,4,215424.0,86000.0,0.0,
2025-04,5,50.4,10.08,15.1,3,88236.0,97333.0,1.0,0.4
2025-05,5,54.5,10.9,16.3,6,218196.0,97667.0,0.0,
2025-06,5,57.9,11.58,17.4,3,78816.0,98000.0,0.0,
2025-07,6,58.3,9.72,17.5,4,129756.0,109333.0,1.0,0.4
2025-08,8,63.2,7.9,19.0,0,0.0,131667.0,2.0,2.45
2025-09,9,73.5,8.17,22.1,5,344256.0,143000.0,1.0,10.3
2025-10,9,82.5,9.17,24.8,3,69696.0,143636.0,0.0,
2025-11,9,85.4,9.49,25.6,1,19008.0,144273.0,0.0,
2025-12,9,85.4,9.49,25.6,5,179916.0,144909.0,0.0,
2026-01,9,85.4,9.49,25.6,3,201300.0,145545.0,0.0,
2026-02,9,85.4,9.49,25.6,7,403392.0,146182.0,0.0,
2026-03,9,85.4,9.49,25.6,4,118272.0,146818.0,0.0,
2026-04,9,85.4,9.49,25.6,7,278964.0,147455.0,0.0,
2026-05,9,85.4,9.49,25.6,5,226116.0,148091.0,0.0,
2026-06,9,85.4,9.49,25.6,3,83424.0,148727.0,0.0,
2026-07,9,85.4,9.49,25.6,2,89460.0,149364.0,0.0,
2026-08,9,85.4,9.49,25.6,1,11904.0,150000.0,0.0,
