policy,origin,method,horizon,actual,pred,err,ape
expanding,2025-02,naive,1,498475.36,478380.1,-20095.26000000001,0.04031344698763046
expanding,2025-02,naive,2,509179.7,478380.1,-30799.600000000035,0.06048866441454762
expanding,2025-02,naive,3,558484.2,478380.1,-80104.09999999998,0.1434312734362046
expanding,2025-02,naive,4,578659.14,478380.1,-100279.04000000004,0.17329552592913341
expanding,2025-02,naive,5,590750.04,478380.1,-112369.94000000006,0.19021571289271524
expanding,2025-02,naive,6,611621.18,478380.1,-133241.08000000007,0.21784902870760633
expanding,2025-02,drift,1,498475.36,487904.6352941176,-10570.72470588237,0.021206112787365
expanding,2025-02,drift,2,509179.7,497429.17058823525,-11750.529411764757,0.023077372117868714
expanding,2025-02,drift,3,558484.2,506953.7058823529,-51530.49411764706,0.09226849052783778
expanding,2025-02,drift,4,578659.14,516478.24117647053,-62180.89882352948,0.10745686799923264
expanding,2025-02,drift,5,590750.04,526002.7764705882,-64747.263529411866,0.10960179288250554
expanding,2025-02,drift,6,611621.18,535527.3117647058,-76093.86823529424,0.1244133962713558
expanding,2025-02,log_linear,1,498475.36,477613.012857323,-20862.347142676997,0.041852313708499046
expanding,2025-02,log_linear,2,509179.7,489078.30864558095,-20101.39135441906,0.039477990490231755
expanding,2025-02,log_linear,3,558484.2,500818.833550244,-57665.366449755966,0.10325335336211118
expanding,2025-02,log_linear,4,578659.14,512841.1945588608,-65817.94544113922,0.11374216856082014
expanding,2025-02,log_linear,5,590750.04,525152.1572624197,-65597.88273758034,0.1110416898788197
expanding,2025-02,log_linear,6,611621.18,537758.6496626887,-73862.53033731133,0.12076516110398813
expanding,2025-02,holt,1,498475.36,495062.246470614,-3413.113529385999,0.00684710580155055
expanding,2025-02,holt,2,509179.7,511744.392941228,2564.692941227986,0.005036911214700794
expanding,2025-02,holt,3,558484.2,528426.539411842,-30057.660588157945,0.05382007331301037
expanding,2025-02,holt,4,578659.14,545108.685882456,-33550.454117543995,0.05797964950064384
expanding,2025-02,holt,5,590750.04,561790.83235307,-28959.20764693001,0.04902108452998159
expanding,2025-02,holt,6,611621.18,578472.978823684,-33148.20117631601,0.05419727481693163
expanding,2025-02,driver_nrr,1,498475.36,491484.3965237806,-6990.963476219389,0.014024692165766005
expanding,2025-02,driver_nrr,2,509179.7,504577.12760086777,-4602.572399132245,0.009039190680877978
expanding,2025-02,driver_nrr,3,558484.2,517658.303438567,-40825.89656143298,0.07310125615269507
expanding,2025-02,driver_nrr,4,578659.14,530727.9342351749,-47931.20576482511,0.08283150209089431
expanding,2025-02,driver_nrr,5,590750.04,543786.0301799878,-46964.00982001226,0.07949895326289315
expanding,2025-02,driver_nrr,6,611621.18,556832.6014533088,-54788.57854669122,0.0895792695516058
expanding,2025-03,naive,1,509179.7,498475.36,-10704.340000000026,0.02102271555602084
expanding,2025-03,naive,2,558484.2,498475.36,-60008.83999999997,0.10744948558974447
expanding,2025-03,naive,3,578659.14,498475.36,-80183.78000000003,0.13856824243716262
expanding,2025-03,naive,4,590750.04,498475.36,-92274.68000000005,0.15619919382485364
expanding,2025-03,naive,5,611621.18,498475.36,-113145.82000000007,0.18499329928371686
expanding,2025-03,naive,6,666924.5,498475.36,-168449.14,0.2525760262218587
expanding,2025-03,drift,1,509179.7,508587.15777777776,-592.5422222222551,0.0011637192571154252
expanding,2025-03,drift,2,558484.2,518698.9555555555,-39785.244444444426,0.07123790510894387
expanding,2025-03,drift,3,578659.14,528810.7533333333,-49848.386666666716,0.08614464582148779
expanding,2025-03,drift,4,590750.04,538922.5511111111,-51827.48888888897,0.08773167224650373
expanding,2025-03,drift,5,611621.18,549034.3488888888,-62586.83111111121,0.10232940447077259
expanding,2025-03,drift,6,666924.5,559146.1466666666,-107778.35333333339,0.16160502925493575
expanding,2025-03,log_linear,1,509179.7,493500.2288901137,-15679.471109886304,0.030793590376612234
expanding,2025-03,log_linear,2,558484.2,505688.1548726912,-52796.04512730875,0.09453453674662374
expanding,2025-03,log_linear,3,578659.14,518177.0848489049,-60482.05515109509,0.1045210400566646
expanding,2025-03,log_linear,4,590750.04,530974.4526843968,-59775.587315603276,0.1011859217404425
expanding,2025-03,log_linear,5,611621.18,544087.875838245,-67533.30416175502,0.1104168828191251
expanding,2025-03,log_linear,6,666924.5,557525.1598971565,-109399.34010284347,0.16403556939780062
expanding,2025-03,holt,1,509179.7,517631.81212926446,8452.112129264453,0.016599467985986976
expanding,2025-03,holt,2,558484.2,536788.264258529,-21695.93574147101,0.038847895323575875
expanding,2025-03,holt,3,578659.14,555944.7163877934,-22714.423612206592,0.039253546763655355
expanding,2025-03,holt,4,590750.04,575101.1685170579,-15648.871482942137,0.026489835672194175
expanding,2025-03,holt,5,611621.18,594257.6206463224,-17363.559353677672,0.028389401677812516
expanding,2025-03,holt,6,666924.5,613414.0727755869,-53510.42722441314,0.08023461010116309
expanding,2025-03,driver_nrr,1,509179.7,513197.5140929823,4017.8140929822694,0.007890758592658484
expanding,2025-03,driver_nrr,2,558484.2,527915.4247105871,-30568.77528941282,0.05473525533831185
expanding,2025-03,driver_nrr,3,578659.14,542629.093075943,-36030.04692405707,0.06226471584646026
expanding,2025-03,driver_nrr,4,590750.04,557338.5204118254,-33411.51958817465,0.056557794880851206
expanding,2025-03,driver_nrr,5,611621.18,572043.7079406577,-39577.47205934231,0.06470912609557163
expanding,2025-03,driver_nrr,6,666924.5,586744.656884511,-80179.843115489,0.12022326832420911
expanding,2025-04,naive,1,558484.2,509179.7,-49304.49999999994,0.0882827123847012
expanding,2025-04,naive,2,578659.14,509179.7,-69479.44,0.1200697184183421
expanding,2025-04,naive,3,590750.04,509179.7,-81570.34000000003,0.13807927968993455
expanding,2025-04,naive,4,611621.18,509179.7,-102441.48000000004,0.1674917143974642
expanding,2025-04,naive,5,666924.5,509179.7,-157744.8,0.23652572367636815
expanding,2025-04,naive,6,686898.22,509179.7,-177718.51999999996,0.2587261326721737
expanding,2025-04,drift,1,558484.2,519322.68421052635,-39161.515789473604,0.07012108093563543
expanding,2025-04,drift,2,578659.14,529465.6684210526,-49193.471578947385,0.08501286539593479
expanding,2025-04,drift,3,590750.04,539608.652631579,-51141.38736842107,0.08657026475769865
expanding,2025-04,drift,4,611621.18,549751.6368421053,-61869.54315789475,0.10115663940528473
expanding,2025-04,drift,5,666924.5,559894.6210526316,-107029.87894736836,0.16048275171682605
expanding,2025-04,drift,6,686898.22,570037.6052631579,-116860.61473684211,0.1701279917959929
expanding,2025-04,log_linear,1,558484.2,508861.4198891938,-49622.78011080617,0.08885261232243664
expanding,2025-04,log_linear,2,578659.14,521661.75857717206,-56997.38142282795,0.09849906012515063
expanding,2025-04,log_linear,3,590750.04,534784.0880157207,-55965.95198427932,0.09473711078255588
expanding,2025-04,log_linear,4,611621.18,548236.5078376704,-63384.67216232966,0.10363387376861223
expanding,2025-04,log_linear,5,666924.5,562027.3214209918,-104897.1785790082,0.15728493791877224
expanding,2025-04,log_linear,6,686898.22,576165.0410139852,-110733.1789860148,0.1612075497677295
expanding,2025-04,holt,1,558484.2,524036.2540177492,-34447.945982250734,0.06168114690129235
expanding,2025-04,holt,2,578659.14,538892.8080354985,-39766.33196450153,0.06872151360903334
expanding,2025-04,holt,3,590750.04,553749.3620532476,-37000.6779467524,0.0626333905059954
expanding,2025-04,holt,4,611621.18,568605.9160709969,-43015.26392900315,0.07032991226530635
expanding,2025-04,holt,5,666924.5,583462.4700887462,-83462.02991125383,0.12514464517535917
expanding,2025-04,holt,6,686898.22,598319.0241064953,-88579.19589350466,0.12895534347651194
expanding,2025-04,driver_nrr,1,558484.2,523442.6197922599,-35041.58020774007,0.0627440851643432
expanding,2025-04,driver_nrr,2,578659.14,537710.3646639844,-40948.77533601562,0.07076493311073531
expanding,2025-04,driver_nrr,3,590750.04,551982.9362474756,-38767.103752524476,0.06562353132049635
expanding,2025-04,driver_nrr,4,611621.18,566260.3361755875,-45360.84382441256,0.0741649329809222
expanding,2025-04,driver_nrr,5,666924.5,580542.5660817267,-86381.93391827331,0.12952280793144247
expanding,2025-04,driver_nrr,6,686898.22,594829.6275998524,-92068.59240014758,0.13403527585229089
expanding,2025-05,naive,1,578659.14,558484.2,-20174.94000000006,0.03486498113552663
expanding,2025-05,naive,2,590750.04,558484.2,-32265.840000000084,0.05461843049557827
expanding,2025-05,naive,3,611621.18,558484.2,-53136.9800000001,0.08687890762710358
expanding,2025-05,naive,4,666924.5,558484.2,-108440.30000000005,0.16259756539158488
expanding,2025-05,naive,5,686898.22,558484.2,-128414.02000000002,0.18694766744336594
expanding,2025-05,naive,6,701693.54,558484.2,-143209.34000000008,0.20409100531266125
expanding,2025-05,drift,1,578659.14,570585.26,-8073.880000000005,0.013952739085742263
expanding,2025-05,drift,2,590750.04,582686.32,-8063.7200000000885,0.013649969452393246
expanding,2025-05,drift,3,611621.18,594787.3799999999,-16833.800000000163,0.027523245679621756
expanding,2025-05,drift,4,666924.5,606888.44,-60036.060000000056,0.09001927504537628
expanding,2025-05,drift,5,686898.22,618989.5,-67908.71999999997,0.09886285627585405
