policy,method,n,mae,rmse,mape_pct,bias
expanding,holt,93,26171.61444145497,33379.557674150405,3.4598162720979624,-14145.847428866002
expanding,driver_nrr,93,28142.757124548854,36603.44723483889,3.7830424015725326,-20849.556478831648
expanding,drift,93,57255.283136980455,67610.02930246358,7.3265671144177995,-57227.85464679913
expanding,log_linear,93,84932.01649552357,89594.80493448801,10.799014161351158,-84932.01649552357
expanding,naive,93,103669.02129032259,118696.40713609208,13.151789784350923,-103669.02129032259
rolling_24,holt,93,25789.49574460298,33252.41747141007,3.419826239773607,-12698.612523293203
rolling_24,driver_nrr,93,28142.757124548854,36603.44723483889,3.7830424015725326,-20849.556478831648
rolling_24,drift,93,53820.24817541954,64340.05325577266,6.963666240233958,-53720.020834650575
rolling_24,log_linear,93,68916.6692325702,76244.87747282832,9.10793270887129,-68400.4010864669
rolling_24,naive,93,103669.02129032259,118696.40713609208,13.151789784350923,-103669.02129032259
