month,base_mrr,delta_mrr,mrr,incremental_sm,paid_social_saving,incremental_commission,cogs,sm,rd,ga,total_cost,net_burn,cash,arr,scenario
2026-09,1066013.302012702,0.0,1066013.3,0.0,-0.0,0.0,231508.31,693710.84,326029.7,138811.13,1390059.98,324046.68,5775953.32,12792159.6,base
2026-10,1099990.0301812517,0.0,1099990.03,0.0,-0.0,0.0,238887.11,715821.28,326701.27,139097.06,1420506.72,320516.69,5455436.63,13199880.36,base
2026-11,1133966.7583498014,0.0,1133966.76,0.0,-0.0,0.0,246265.91,737931.72,327374.22,139383.58,1450955.43,316988.67,5138447.96,13607601.12,base
2026-12,1167943.4865183514,0.0,1167943.49,0.0,-0.0,0.0,253644.7,760042.16,328048.56,139670.68,1481406.1,313462.61,4824985.35,14015321.88,base
2027-01,1201920.214686901,0.0,1201920.21,0.0,-0.0,0.0,261023.5,782152.6,328724.29,139958.38,1511858.77,309938.56,4515046.79,14423042.52,base
2027-02,1235896.9428554508,0.0,1235896.94,0.0,-0.0,0.0,268402.3,804263.04,329401.4,140246.67,1542313.41,306416.47,4208630.32,14830763.28,base
2027-03,1269873.6710240007,0.0,1269873.67,0.0,-0.0,0.0,275781.09,826373.48,330079.92,140535.56,1572770.05,302896.38,3905733.94,15238484.04,base
2027-04,1303850.3991925505,0.0,1303850.4,0.0,-0.0,0.0,283159.89,848483.92,330759.83,140825.04,1603228.68,299378.28,3606355.66,15646204.8,base
2027-05,1337827.1273611002,0.0,1337827.13,0.0,-0.0,0.0,290538.69,870594.37,331441.14,141115.12,1633689.32,295862.19,3310493.47,16053925.56,base
2027-06,1371803.85552965,0.0,1371803.86,0.0,-0.0,0.0,297917.48,892704.81,332123.85,141405.79,1664151.93,292348.07,3018145.4,16461646.32,base
2027-07,1405780.5836981998,0.0,1405780.58,0.0,-0.0,0.0,305296.28,914815.25,332807.97,141697.06,1694616.56,288835.98,2729309.42,16869366.96,base
2027-08,1439757.3118667495,0.0,1439757.31,0.0,-0.0,0.0,312675.07,936925.69,333493.5,141988.93,1725083.19,285325.88,2443983.54,17277087.72,base
2027-09,1473734.0400352995,0.0,1473734.04,0.0,-0.0,0.0,320053.87,959036.13,334180.45,142281.41,1755551.86,281817.82,2162165.72,17684808.48,base
2027-10,1507710.7682038492,0.0,1507710.77,0.0,-0.0,0.0,327432.67,981146.57,334868.8,142574.49,1786022.53,278311.76,1883853.96,18092529.24,base
2027-11,1541687.496372399,0.0,1541687.5,0.0,-0.0,0.0,334811.47,1003257.01,335558.58,142868.17,1816495.23,274807.73,1609046.23,18500250.0,base
2027-12,1575664.2245409489,0.0,1575664.22,0.0,-0.0,0.0,342190.26,1025367.45,336249.77,143162.45,1846969.93,271305.71,1337740.52,18907970.64,base
2028-01,1609640.9527094986,0.0,1609640.95,0.0,-0.0,0.0,349569.06,1047477.9,336942.39,143457.34,1877446.69,267805.74,1069934.78,19315691.4,base
2028-02,1643617.6808780483,0.0,1643617.68,0.0,-0.0,0.0,356947.85,1069588.34,337636.44,143752.84,1907925.47,264307.79,805626.99,19723412.16,base
