month,base_mrr,delta_mrr,mrr,incremental_sm,paid_social_saving,incremental_commission,cogs,sm,rd,ga,total_cost,net_burn,cash,arr,scenario
2026-09,1066013.302012702,0.0,1066013.3,0.0,-0.0,0.0,231508.31,693710.84,326029.7,138811.13,1390059.98,324046.68,5775953.32,12792159.6,sales_proposal
2026-10,1099990.0301812517,0.0,1099990.03,0.0,-0.0,0.0,238887.11,715821.28,326701.27,139097.06,1420506.72,320516.69,5455436.63,13199880.36,sales_proposal
2026-11,1133966.7583498014,0.0,1133966.76,180000.0,-0.0,3778.46,246265.91,921710.18,327374.22,139383.58,1634733.89,500767.13,4954669.5,13607601.12,sales_proposal
2026-12,1167943.4865183514,36.44,1167979.93,180000.0,-0.0,7234.0,253652.62,947276.16,328048.56,139670.68,1668648.02,500668.09,4454001.41,14015759.16,sales_proposal
2027-01,1201920.214686901,1359.59,1203279.8,180000.0,-0.0,10006.19,261318.76,972158.79,328724.29,139958.38,1702160.22,498880.42,3955120.99,14439357.6,sales_proposal
2027-02,1235896.9428554508,3856.81,1239753.75,180000.0,-0.0,10006.19,269239.89,994269.23,329401.4,140246.67,1733157.19,493403.44,3461717.55,14877045.0,sales_proposal
2027-03,1269873.6710240007,9133.94,1279007.61,180000.0,-0.0,10006.19,277764.73,1016379.67,330079.92,140535.56,1764759.88,485752.27,2975965.28,15348091.32,sales_proposal
2027-04,1303850.3991925505,16136.67,1319987.07,180000.0,-0.0,10006.19,286664.32,1038490.11,330759.83,140825.04,1796739.3,476752.23,2499213.05,15839844.84,sales_proposal
2027-05,1337827.1273611002,24550.5,1362377.63,180000.0,-0.0,10006.19,295870.37,1060600.56,331441.14,141115.12,1829027.19,466649.56,2032563.49,16348531.56,sales_proposal
2027-06,1371803.85552965,33029.7,1404833.56,180000.0,-0.0,10006.19,305090.61,1082711.0,332123.85,141405.79,1861331.25,456497.69,1576065.8,16858002.72,sales_proposal
2027-07,1405780.5836981998,41575.07,1447355.65,180000.0,-0.0,10006.19,314325.22,1104821.44,332807.97,141697.06,1893651.69,446296.04,1129769.76,17368267.8,sales_proposal
2027-08,1439757.3118667495,50187.45,1489944.76,180000.0,-0.0,10006.19,323574.39,1126931.88,333493.5,141988.93,1925988.7,436043.94,693725.82,17879337.12,sales_proposal
2027-09,1473734.0400352995,58867.66,1532601.7,180000.0,-0.0,10006.19,332838.28,1149042.32,334180.45,142281.41,1958342.46,425740.76,267985.06,18391220.4,sales_proposal
2027-10,1507710.7682038492,67616.55,1575327.32,180000.0,-0.0,10006.19,342117.09,1171152.76,334868.8,142574.49,1990713.14,415385.82,-147400.76,18903927.84,sales_proposal
2027-11,1541687.496372399,76434.98,1618122.48,180000.0,-0.0,10006.19,351411.01,1193263.2,335558.58,142868.17,2023100.96,404978.48,-552379.24,19417469.76,sales_proposal
2027-12,1575664.2245409489,85323.79,1660988.01,180000.0,-0.0,10006.19,360720.2,1215373.64,336249.77,143162.45,2055506.06,394518.05,-946897.29,19931856.12,sales_proposal
2028-01,1609640.9527094986,94283.86,1703924.81,180000.0,-0.0,10006.19,370044.88,1237484.09,336942.39,143457.34,2087928.7,384003.89,-1330901.18,20447097.72,sales_proposal
2028-02,1643617.6808780483,103316.08,1746933.76,180000.0,-0.0,10006.19,379385.22,1259594.53,337636.44,143752.84,2120369.03,373435.27,-1704336.45,20963205.12,sales_proposal
