month,base_mrr,delta_mrr,mrr,incremental_sm,paid_social_saving,incremental_commission,cogs,sm,rd,ga,total_cost,net_burn,cash,arr,scenario
2026-09,1066013.302012702,0.0,1066013.3,0.0,-75500.0,-1404.0,231508.31,616806.84,326029.7,138811.13,1313155.98,247142.68,5852857.32,12792159.6,selective
2026-10,1099990.0301812517,-796.42,1099193.61,0.0,-75500.0,-1404.0,238714.15,638917.28,326701.27,139097.06,1343429.76,244236.15,5608621.17,13190323.32,selective
2026-11,1133966.7583498014,-1952.61,1132014.15,88500.0,-75500.0,3834.54,245841.86,754766.26,327374.22,139383.58,1467365.92,335351.77,5273269.4,13584169.8,selective
2026-12,1167943.4865183514,-3084.25,1164859.24,88500.0,-75500.0,8053.92,252974.89,781096.08,328048.56,139670.68,1501790.21,336930.97,4936338.43,13978310.88,selective
2027-01,1201920.214686901,-3476.11,1198444.1,88500.0,-75500.0,11210.62,260268.59,806363.22,328724.29,139958.38,1535314.48,336870.38,4599468.05,14381329.2,selective
2027-02,1235896.9428554508,-3269.61,1232627.33,88500.0,-75500.0,11210.62,267692.23,828473.66,329401.4,140246.67,1565813.96,333186.63,4266281.42,14791527.96,selective
2027-03,1269873.6710240007,1019.23,1270892.9,88500.0,-75500.0,11210.62,276002.44,850584.1,330079.92,140535.56,1597202.02,326309.12,3939972.3,15250714.8,selective
2027-04,1303850.3991925505,8296.24,1312146.64,88500.0,-75500.0,11210.62,284961.6,872694.54,330759.83,140825.04,1629241.01,317094.37,3622877.93,15745759.68,selective
2027-05,1337827.1273611002,17860.83,1355687.96,88500.0,-75500.0,11210.62,294417.56,894804.99,331441.14,141115.12,1661778.81,306090.85,3316787.08,16268255.52,selective
2027-06,1371803.85552965,27550.16,1399354.02,88500.0,-75500.0,11210.62,303900.61,916915.43,332123.85,141405.79,1694345.68,294991.66,3021795.42,16792248.24,selective
2027-07,1405780.5836981998,37365.42,1443146.0,88500.0,-75500.0,11210.62,313411.0,939025.87,332807.97,141697.06,1726941.9,283795.9,2737999.52,17317752.0,selective
2027-08,1439757.3118667495,47307.82,1487065.13,88500.0,-75500.0,11210.62,322949.01,961136.31,333493.5,141988.93,1759567.75,272502.62,2465496.9,17844781.56,selective
2027-09,1473734.0400352995,57378.58,1531112.62,88500.0,-75500.0,11210.62,332514.9,983246.75,334180.45,142281.41,1792223.51,261110.89,2204386.01,18373351.44,selective
2027-10,1507710.7682038492,67578.97,1575289.74,88500.0,-75500.0,11210.62,342108.93,1005357.19,334868.8,142574.49,1824909.41,249619.67,1954766.34,18903476.88,selective
2027-11,1541687.496372399,77910.25,1619597.75,88500.0,-75500.0,11210.62,351731.4,1027467.63,335558.58,142868.17,1857625.78,238028.03,1716738.31,19435173.0,selective
2027-12,1575664.2245409489,88373.71,1664037.93,88500.0,-75500.0,11210.62,361382.56,1049578.07,336249.77,143162.45,1890372.85,226334.92,1490403.39,19968455.16,selective
2028-01,1609640.9527094986,98970.68,1708611.63,88500.0,-75500.0,11210.62,371062.72,1071688.52,336942.39,143457.34,1923150.97,214539.34,1275864.05,20503339.56,selective
2028-02,1643617.6808780483,109702.49,1753320.17,88500.0,-75500.0,11210.62,380772.17,1093798.96,337636.44,143752.84,1955960.41,202640.24,1073223.81,21039842.04,selective
