cohort,cohort_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2023-09,6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,66.7,66.7,66.7,66.7,66.7
2023-10,4,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
2023-11,6,100.0,100.0,100.0,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,,
2023-12,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,0.0,,,,,,,
2024-01,6,100.0,100.0,83.3,83.3,83.3,83.3,83.3,83.3,83.3,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,,,,
2024-02,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,
2024-03,6,100.0,100.0,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,,,,,,
2024-04,9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.9,88.9,88.9,88.9,88.9,,,,,,,
2024-05,8,100.0,100.0,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,,,,,,,,
2024-06,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,75.0,75.0,,,,,,,,,
2024-07,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,,,,,,,,
2024-08,5,100.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,
2024-09,12,100.0,100.0,91.7,91.7,91.7,91.7,83.3,83.3,83.3,83.3,83.3,83.3,75.0,83.3,83.3,83.3,83.3,83.3,83.3,83.3,75.0,75.0,75.0,75.0,,,,,,,,,,,,
2024-10,8,100.0,100.0,100.0,100.0,87.5,87.5,87.5,87.5,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,62.5,62.5,62.5,62.5,62.5,62.5,62.5,,,,,,,,,,,,,
2024-11,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.7,85.7,85.7,85.7,85.7,71.4,71.4,71.4,71.4,71.4,71.4,,,,,,,,,,,,,,
2024-12,8,100.0,100.0,87.5,75.0,75.0,75.0,75.0,62.5,50.0,50.0,37.5,50.0,50.0,50.0,37.5,37.5,37.5,37.5,37.5,37.5,37.5,,,,,,,,,,,,,,,
2025-01,9,100.0,100.0,100.0,100.0,100.0,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9,66.7,66.7,66.7,66.7,66.7,,,,,,,,,,,,,,,,
2025-02,12,100.0,100.0,100.0,83.3,83.3,83.3,83.3,75.0,75.0,75.0,75.0,75.0,75.0,66.7,58.3,58.3,58.3,58.3,58.3,,,,,,,,,,,,,,,,,
2025-03,9,100.0,100.0,100.0,88.9,88.9,88.9,77.8,77.8,77.8,66.7,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,,,,,,,,,,,,,,,,,,
2025-04,8,100.0,87.5,87.5,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,62.5,62.5,62.5,,,,,,,,,,,,,,,,,,,
2025-05,20,100.0,100.0,95.0,95.0,90.0,85.0,85.0,85.0,85.0,85.0,80.0,80.0,80.0,75.0,75.0,75.0,,,,,,,,,,,,,,,,,,,,
2025-06,15,100.0,93.3,93.3,80.0,80.0,80.0,73.3,73.3,73.3,73.3,73.3,66.7,66.7,66.7,66.7,,,,,,,,,,,,,,,,,,,,,
2025-07,10,100.0,80.0,80.0,80.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,
2025-08,9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,
