cohort_q,cohort_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2023 Q3,6,100.0,100.0,100.0,100.0,100.0,100.0,100.6,100.6,100.0,100.0,99.4,78.8,78.8,78.8,80.5,80.5,82.1,82.1,82.1,80.5,82.9,82.3,80.7,84.0,89.6,92.9,92.9,93.6,93.6,93.6,95.2,67.2,67.2,67.2,67.2,64.2
2023 Q4,13,100.0,100.0,100.8,97.2,94.7,94.7,94.7,95.9,95.9,96.3,97.8,97.4,97.4,96.0,94.8,88.4,91.3,91.7,90.1,89.7,86.0,89.5,89.9,89.9,92.2,95.7,95.0,95.0,95.6,111.9,111.9,111.9,112.5,113.0,102.8,
2024 Q1,13,100.0,100.0,88.1,88.1,90.2,90.2,90.2,88.4,88.4,89.4,90.3,95.9,97.0,97.1,97.1,97.1,97.1,97.1,100.8,103.8,105.9,112.7,118.8,121.8,122.6,128.9,129.3,135.9,141.4,142.5,175.0,181.2,,,,
2024 Q2,21,100.0,101.3,94.9,94.9,94.9,94.9,93.8,95.6,95.8,97.1,96.9,96.9,101.4,100.6,101.8,103.1,103.1,103.4,105.2,105.9,105.9,108.7,108.0,108.9,105.4,107.4,105.8,104.0,108.9,,,,,,,
2024 Q3,22,100.0,100.2,98.5,98.7,98.5,98.3,97.2,100.3,101.1,102.5,101.9,96.2,97.9,99.2,98.4,95.1,96.2,97.0,98.3,98.9,88.1,88.3,88.3,88.3,87.7,103.0,,,,,,,,,,
2024 Q4,23,100.0,101.3,98.6,96.8,95.2,95.4,95.4,96.2,92.7,92.7,90.6,91.8,96.8,96.8,94.2,95.1,91.1,92.0,92.0,92.5,94.0,97.5,99.7,,,,,,,,,,,,,
2025 Q1,30,100.0,99.3,99.4,94.8,95.4,96.4,95.3,94.3,95.3,99.4,100.1,100.0,104.4,105.6,104.7,100.8,101.5,103.0,93.4,75.5,,,,,,,,,,,,,,,,
2025 Q2,43,100.0,99.5,95.5,94.1,94.0,92.7,92.5,95.0,95.6,95.8,92.1,91.8,93.6,93.5,93.8,94.2,97.3,,,,,,,,,,,,,,,,,,,
2025 Q3,36,100.0,99.9,100.6,103.0,102.4,103.1,104.1,109.6,110.9,111.6,113.2,115.3,115.3,110.6,,,,,,,,,,,,,,,,,,,,,,
2025 Q4,37,100.0,103.4,101.7,96.1,96.4,96.3,98.0,101.3,96.1,88.1,85.4,,,,,,,,,,,,,,,,,,,,,,,,,
2026 Q1,46,100.0,98.3,98.4,98.9,102.0,105.7,109.1,123.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026 Q2,55,100.0,99.2,99.6,102.0,102.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026 Q3,29,100.0,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
