cohort,cohort_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2023-09,6,100.0,100.0,100.0,100.0,100.0,100.0,100.6,100.6,100.0,100.0,99.4,78.8,78.8,78.8,80.5,80.5,82.1,82.1,82.1,80.5,82.9,82.3,80.7,84.0,89.6,92.9,92.9,93.6,93.6,93.6,95.2,67.2,67.2,67.2,67.2,64.2
2023-10,4,100.0,100.0,103.3,103.3,93.4,93.4,93.4,98.1,98.1,99.7,94.8,93.1,93.1,86.1,84.4,91.5,98.5,98.5,91.9,91.9,91.9,91.9,91.9,91.9,95.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,
2023-11,6,100.0,100.0,100.0,94.3,94.3,94.3,94.3,94.3,94.3,94.3,98.5,98.5,98.5,98.5,97.9,97.9,99.7,100.3,100.3,99.7,94.0,99.4,100.0,100.0,101.4,104.1,102.3,102.3,109.2,115.4,115.4,115.4,116.2,116.9,,
2023-12,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,103.7,100.0,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,30.6,30.6,35.0,35.0,0.0,,,,,,,
2024-01,6,100.0,100.0,95.4,95.4,95.4,95.4,95.4,95.4,95.4,91.3,91.3,98.1,98.1,98.7,98.7,98.7,98.7,98.7,112.4,123.7,131.6,149.0,147.4,147.4,148.9,159.1,160.7,160.7,181.2,181.2,181.2,181.2,,,,
2024-02,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,109.0,109.0,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,124.4,139.7,152.6,152.6,167.9,167.9,167.9,167.9,167.9,167.9,,,,,
2024-03,6,100.0,100.0,78.6,78.6,82.8,82.8,82.8,79.2,79.2,79.2,81.0,81.3,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,87.8,93.8,93.8,94.5,94.5,94.5,107.7,107.7,109.9,,,,,,
2024-04,9,100.0,102.4,102.4,102.4,102.4,102.4,100.3,103.7,103.7,104.9,104.9,104.9,107.1,105.9,105.9,105.9,105.9,105.9,108.9,108.9,108.9,111.8,109.4,109.4,104.8,107.1,104.7,104.7,108.9,,,,,,,
2024-05,8,100.0,100.0,79.8,79.8,79.8,79.8,79.8,79.8,80.5,82.5,81.8,81.8,89.6,89.6,90.6,94.7,94.7,95.5,95.5,95.5,95.5,95.5,97.2,97.2,98.0,100.6,99.7,102.8,,,,,,,,
2024-06,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,105.7,104.6,111.3,111.3,111.3,111.3,113.2,117.6,117.6,126.2,126.2,132.9,123.6,123.6,123.6,,,,,,,,,
2024-07,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,106.5,106.5,106.5,105.2,106.8,108.2,108.2,108.2,100.7,100.7,102.5,102.5,103.0,103.0,103.0,103.0,103.0,103.0,103.0,,,,,,,,,,
2024-08,5,100.0,99.0,99.0,100.0,100.0,95.2,94.2,94.2,98.3,105.7,105.7,71.4,76.1,65.8,65.8,65.8,72.7,72.7,72.7,72.7,52.2,52.2,52.2,52.2,52.2,,,,,,,,,,,
2024-09,12,100.0,101.0,96.6,96.6,96.1,97.9,95.4,96.1,96.1,96.1,96.1,96.1,96.8,105.5,103.4,103.4,102.8,102.8,106.3,107.5,88.6,89.2,89.2,89.2,,,,,,,,,,,,
2024-10,8,100.0,100.0,100.0,100.4,97.0,97.5,97.5,97.5,92.4,92.4,92.4,92.4,97.4,97.4,98.2,98.2,98.4,98.4,98.4,98.4,98.4,99.7,99.7,,,,,,,,,,,,,
2024-11,7,100.0,103.6,103.6,102.6,102.6,102.6,102.6,106.5,106.5,106.5,106.5,103.8,108.2,108.2,106.6,106.6,93.2,93.2,93.2,94.0,94.0,94.0,,,,,,,,,,,,,,
2024-12,8,100.0,101.0,87.7,79.5,79.5,79.5,79.5,77.7,72.5,72.5,62.3,72.5,78.3,78.3,66.2,70.5,70.5,74.9,74.9,76.1,83.1,,,,,,,,,,,,,,,
2025-01,9,100.0,97.1,96.6,93.1,93.1,90.1,93.0,93.0,93.0,94.5,94.5,94.5,99.2,99.2,99.2,76.2,76.2,76.2,76.2,75.5,,,,,,,,,,,,,,,,
2025-02,12,100.0,99.8,99.8,92.4,92.4,92.4,91.8,89.4,95.8,101.9,102.1,101.9,103.3,101.4,99.4,99.4,99.4,101.5,101.3,,,,,,,,,,,,,,,,,
2025-03,9,100.0,100.0,100.6,98.8,100.5,105.2,101.3,101.3,96.0,99.1,100.8,100.8,109.0,114.9,114.9,117.0,119.1,120.9,,,,,,,,,,,,,,,,,,
2025-04,8,100.0,101.1,101.1,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,101.4,101.4,98.0,98.0,97.3,,,,,,,,,,,,,,,,,,,
2025-05,20,100.0,99.9,93.2,93.8,94.0,92.0,92.9,97.0,97.8,97.6,92.0,91.8,93.1,92.3,93.4,93.4,,,,,,,,,,,,,,,,,,,,
2025-06,15,100.0,97.5,99.0,92.6,91.8,91.8,88.3,87.5,87.5,89.4,89.4,88.2,90.6,92.3,92.3,,,,,,,,,,,,,,,,,,,,,
2025-07,10,100.0,97.1,97.1,100.5,97.8,97.8,102.6,104.1,105.0,105.0,106.5,110.6,110.6,110.6,,,,,,,,,,,,,,,,,,,,,,
2025-08,9,100.0,100.5,101.1,98.8,98.8,106.8,106.8,106.8,109.0,109.0,108.3,114.3,122.6,,,,,,,,,,,,,,,,,,,,,,,
2025-09,17,100.0,100.7,101.6,104.7,104.7,104.0,104.0,112.0,113.3,114.4,116.5,117.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,10,100.0,103.2,98.1,98.4,98.7,97.5,100.2,100.1,86.6,86.3,85.4,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11,9,100.0,101.0,101.0,81.4,81.4,81.4,84.0,86.9,86.9,89.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12,18,100.0,104.7,103.6,102.6,103.0,103.4,104.2,109.2,104.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01,14,100.0,100.7,100.2,103.2,107.7,114.4,119.0,123.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02,18,100.0,95.9,96.5,96.8,99.7,101.8,101.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03,14,100.0,100.0,100.0,94.8,95.5,96.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04,17,100.0,98.7,99.4,103.7,102.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05,16,100.0,100.4,100.3,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06,22,100.0,98.8,99.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07,11,100.0,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08,18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRE-WINDOW,452,100.0,99.5,99.0,99.0,99.2,98.8,98.6,97.4,96.6,96.3,93.4,95.7,95.0,95.2,95.2,95.0,95.3,94.1,94.4,94.7,94.1,95.3,94.9,96.9,97.8,98.2,96.7,96.5,97.1,98.0,98.7,98.2,98.4,97.5,97.9,99.3
