check,excel,reference,difference,tolerance,status
"ARR, latest actual month",12374313.6,12374313.6,0.0,0.005,PASS
"Net burn, trailing 3 months",335925.356666667,335925.356666667,0.0,0.005,PASS
"ARR bridge, closing (latest month)",12374313.6,12374313.6,0.0,0.005,PASS
CAC — channel row 1,175990.0,175990.0,0.0,0.5,PASS
CAC payback — channel row 1,48.1835019623572,48.2,-0.0164980376427621,0.05,PASS
LTV/CAC — channel row 1,3.27396145373449,3.27,0.0039614537344943,0.0051,PASS
CAC — channel row 2,32117.7391304348,32118.0,-0.260869565216126,0.5,PASS
CAC payback — channel row 2,18.7582250447144,18.8,-0.0417749552855931,0.05,PASS
LTV/CAC — channel row 2,3.76568272044767,3.77,-0.00431727955232963,0.0051,PASS
CAC — channel row 3,72218.5434782609,72219.0,-0.456521739135496,0.5,PASS
CAC payback — channel row 3,26.1000236098524,26.1,2.36098523807016e-05,0.05,PASS
LTV/CAC — channel row 3,3.02086316652526,3.02,0.00086316652526186,0.0051,PASS
CAC — channel row 4,21277.1754385965,21277.0,0.175438596492313,0.5,PASS
CAC payback — channel row 4,21.6952058975661,21.7,-0.00479410243390532,0.05,PASS
LTV/CAC — channel row 4,2.59350190684656,2.59,0.00350190684655693,0.0051,PASS
CAC — channel row 5,30883.1944444444,30883.0,0.194444444445253,0.5,PASS
CAC payback — channel row 5,68.4804141315926,68.5,-0.0195858684073755,0.05,PASS
LTV/CAC — channel row 5,0.286827978731156,0.29,-0.00317202126884381,0.0051,PASS
CAC — channel row 6,29880.25,29880.0,0.25,0.5,PASS
CAC payback — channel row 6,12.5117121850132,12.5,0.0117121850132325,0.05,PASS
LTV/CAC — channel row 6,5.24561307115453,5.25,-0.00438692884546921,0.0051,PASS
Cash at month 18 (active scenario),1073223.81996275,1073224.0,-0.180037251440808,0.5,PASS
ARR at month 18 (active scenario),21039842.057213,21039842.0,0.0572130382061005,0.5,PASS
Incremental ARR at month 18 (active),1316429.88667646,1316430.0,-0.11332354368642,0.5,PASS
