month,base,sales_proposal,selective
2026-09,5775953,5775953,5852857
2026-10,5455437,5455437,5608621
2026-11,5138448,4954670,5273269
2026-12,4824985,4454001,4936338
2027-01,4515047,3955121,4599468
2027-02,4208630,3461718,4266281
2027-03,3905734,2975965,3939972
2027-04,3606356,2499213,3622878
2027-05,3310493,2032563,3316787
2027-06,3018145,1576066,3021795
2027-07,2729309,1129770,2738000
2027-08,2443984,693726,2465497
2027-09,2162166,267985,2204386
2027-10,1883854,-147401,1954766
2027-11,1609046,-552379,1716738
2027-12,1337741,-946897,1490403
2028-01,1069935,-1330901,1275864
2028-02,805627,-1704336,1073224
